HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20020916.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.146458
0.5 6.5 3.011007
0.5 7.5 -0.24552
0.5 8.5 -1.376878
0.5 10.5 4.04761
0.5 11.5 7.248676
0.5 12.5 8.149085
0.5 13.5 3.62453
0.5 14.5 1.323447
0.5 15.5 1.28777
0.5 16.5 1.84977
0.5 17.5 1.20681
0.5 20.5 -0.854673
0.5 22.5 2.177486
0.5 23.5 -1.932336
0.5 24.5 -3.070015
0.5 26.5 -0.270528
0.5 27.5 -0.048972
0.5 30.5 -0.305064
0.5 31.5 -1.033444
0.5 32.5 -2.20984
0.5 33.5 -3.277407
0.5 34.5 -6.073116
0.5 35.5 -4.331208
0.5 36.5 -0.723925
0.5 37.5 -0.01806
0.5 38.5 -0.085116
0.5 39.5 -0.39044
0.5 40.5 -1.116661
0.5 41.5 -3.197105
0.5 42.5 -4.896255
0.5 43.5 -4.62024
0.5 44.5 -3.97085
0.5 45.5 -2.611617
0.5 46.5 -1.645298
0.5 47.5 -1.384584
0.5 48.5 -1.168596
0.5 49.5 -0.67496
0.5 50.5 -0.014454
1.5 5.5 2.459653
1.5 6.5 5.124637
1.5 7.5 2.681016
1.5 8.5 1.00792
1.5 9.5 1.957644
1.5 10.5 4.626526
1.5 11.5 7.463526
1.5 12.5 8.117732
1.5 13.5 3.756164
