HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20140110.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.071225
0.5 5.5 -0.077546
0.5 6.5 1.753804
0.5 7.5 3.9996
0.5 8.5 3.953384
0.5 9.5 3.273317
0.5 10.5 3.323186
0.5 11.5 4.508364
0.5 12.5 5.985154
0.5 13.5 3.820835
0.5 14.5 2.214603
0.5 15.5 3.317336
0.5 16.5 4.82298
0.5 17.5 1.854996
0.5 20.5 1.60332
0.5 21.5 -0.019775
0.5 23.5 -0.273456
0.5 24.5 -0.69277
0.5 26.5 -0.182496
0.5 27.5 -0.516114
0.5 28.5 -0.335829
0.5 29.5 -0.223696
0.5 30.5 -0.232812
0.5 31.5 -0.19026
0.5 32.5 -0.03128
0.5 34.5 1.391664
0.5 35.5 2.073848
0.5 39.5 1.25818
0.5 40.5 2.148601
0.5 41.5 4.83781
0.5 42.5 7.141785
0.5 43.5 7.73904
0.5 44.5 8.92775
0.5 45.5 8.831259
0.5 46.5 8.288166
0.5 47.5 8.698314
0.5 48.5 8.130408
0.5 49.5 6.02921
0.5 51.5 3.999552
0.5 52.5 4.233968
0.5 54.5 -0.004634
1.5 5.5 -0.313502
1.5 7.5 2.593764
1.5 8.5 3.065952
1.5 9.5 3.221088
1.5 10.5 3.940588
1.5 11.5 5.342876
1.5 12.5 6.76284
1.5 13.5 4.524364
