HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20150123.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Mon Oct 26 13:04:48 2015
0.5 5.5 2.928412
0.5 6.5 7.348997
0.5 7.5 7.291152
0.5 8.5 4.31072
0.5 9.5 2.688329
0.5 10.5 2.948973
0.5 11.5 4.82196
0.5 12.5 6.973155
0.5 13.5 4.488841
0.5 14.5 2.527311
0.5 15.5 3.614358
0.5 16.5 4.99968
0.5 17.5 1.86461
0.5 23.5 -0.986688
0.5 24.5 -1.818795
0.5 26.5 -0.224832
0.5 27.5 -0.186348
0.5 32.5 1.60356
0.5 33.5 2.662934
0.5 34.5 5.393432
0.5 35.5 3.187912
0.5 36.5 -0.430675
0.5 37.5 -0.155574
0.5 38.5 -1.384734
0.5 39.5 -2.60537
0.5 40.5 -3.054415
0.5 41.5 -3.079078
0.5 43.5 4.02408
0.5 44.5 5.98395
0.5 45.5 5.175786
0.5 46.5 3.553626
0.5 47.5 3.20092
0.5 48.5 3.996564
0.5 49.5 4.707846
0.5 51.5 6.442972
0.5 52.5 8.872028
0.5 53.5 2.245691
0.5 54.5 -0.016023
1.5 5.5 2.222983
1.5 6.5 5.899432
1.5 7.5 5.325016
1.5 8.5 3.377704
1.5 9.5 2.609124
1.5 10.5 3.34217
1.5 11.5 5.349848
1.5 12.5 7.4949
1.5 13.5 5.145604
1.5 14.5 6.344688
1.5 15.5 5.472978
