HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20090215.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.11578
0.5 5.5 -1.14982
0.5 6.5 -3.178479
0.5 7.5 -4.20552
0.5 8.5 -4.28945
0.5 9.5 -4.697739
0.5 10.5 -5.6732
0.5 11.5 -6.976668
0.5 12.5 -7.008323
0.5 13.5 -3.115275
0.5 14.5 -1.18347
0.5 15.5 -1.09549
0.5 16.5 -1.08438
0.5 17.5 -0.553564
0.5 18.5 -0.2516
0.5 19.5 -0.852544
0.5 20.5 -3.81435
0.5 23.5 -0.570672
0.5 24.5 -0.909215
0.5 26.5 -0.195552
0.5 27.5 -0.465234
0.5 28.5 -0.14457
0.5 32.5 1.51984
0.5 33.5 2.524498
0.5 34.5 6.1289
0.5 35.5 6.854904
0.5 36.5 2.3
0.5 39.5 1.11929
0.5 40.5 1.626898
0.5 41.5 3.822259
0.5 42.5 6.467055
0.5 43.5 7.79424
0.5 44.5 9.1061
0.5 45.5 8.137332
0.5 46.5 6.216578
0.5 47.5 5.047032
0.5 48.5 3.857568
0.5 49.5 2.716714
0.5 51.5 2.29141
0.5 52.5 2.885904
0.5 54.5 -0.003885
1.5 5.5 -1.149736
1.5 6.5 -3.67066
1.5 7.5 -4.478936
1.5 8.5 -4.328196
1.5 9.5 -4.716288
1.5 10.5 -5.941514
