HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20060616.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.084245
0.5 5.5 -1.496676
0.5 6.5 -6.597699
0.5 7.5 -11.560032
0.5 8.5 -12.050164
0.5 9.5 -10.849625
0.5 10.5 -9.994651
0.5 11.5 -9.7507
0.5 12.5 -8.559012
0.5 13.5 -3.776453
0.5 14.5 -1.653459
0.5 15.5 -2.035638
0.5 16.5 -2.52216
0.5 17.5 -0.74382
0.5 18.5 -0.053724
0.5 20.5 1.502466
0.5 21.5 -0.053865
0.5 22.5 -0.51554
0.5 25.5 -0.15523
0.5 33.5 1.08398
0.5 34.5 1.801236
0.5 35.5 1.555792
0.5 40.5 -0.040131
0.5 41.5 -0.654985
0.5 42.5 -1.083495
0.5 43.5 -0.6256
0.5 48.5 -0.121836
0.5 49.5 -0.2596
0.5 50.5 -0.008833
0.5 54.5 -0.000714
1.5 5.5 -1.453291
1.5 6.5 -6.435744
1.5 7.5 -9.69026
1.5 8.5 -9.895196
1.5 9.5 -9.69744
1.5 10.5 -10.060424
1.5 11.5 -10.200036
1.5 12.5 -9.134482
1.5 13.5 -4.37874
1.5 14.5 -4.134556
1.5 15.5 -2.935514
1.5 16.5 -0.509474
1.5 17.5 -0.584802
1.5 18.5 -0.009196
1.5 20.5 1.008024
1.5 21.5 -0.185251
