HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20070717.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 -0.538238
0.5 6.5 -3.79138
0.5 7.5 -7.691904
0.5 8.5 -8.130812
0.5 9.5 -6.742819
0.5 10.5 -5.221526
0.5 11.5 -3.892412
0.5 12.5 -2.357355
0.5 13.5 -0.649798
0.5 14.5 -0.164697
0.5 15.5 -0.102718
0.5 20.5 1.880022
0.5 21.5 -0.04844
0.5 22.5 -0.320648
0.5 25.5 -0.073014
0.5 32.5 -0.0253
0.5 33.5 -0.205042
0.5 34.5 -0.827952
0.5 35.5 -1.229368
0.5 36.5 -0.4255
0.5 37.5 -0.017931
0.5 42.5 -0.665805
0.5 43.5 -1.07456
0.5 44.5 -0.39155
0.5 45.5 1.435302
0.5 46.5 3.21078
0.5 47.5 4.602253
0.5 48.5 4.406688
0.5 49.5 2.723204
0.5 52.5 -0.009816
0.5 53.5 -0.164464
1.5 5.5 -0.416745
1.5 6.5 -3.003567
1.5 7.5 -5.518028
1.5 8.5 -5.978372
1.5 9.5 -5.567484
1.5 10.5 -4.929564
1.5 11.5 -3.797416
1.5 12.5 -2.234526
1.5 13.5 -0.553772
1.5 14.5 -0.118224
1.5 20.5 1.243576
1.5 21.5 -0.161898
1.5 22.5 -0.22236
1.5 33.5 -0.061761
1.5 34.5 -0.451605
1.5 35.5 -1.10514
