HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20040916.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.457788
0.5 6.5 10.29255
0.5 7.5 17.6616
0.5 8.5 18.458106
0.5 9.5 17.033614
0.5 10.5 16.35409
0.5 11.5 16.671168
0.5 12.5 15.01234
0.5 13.5 6.537241
0.5 14.5 2.690772
0.5 15.5 3.027398
0.5 16.5 3.66327
0.5 17.5 1.433498
0.5 20.5 3.112251
0.5 21.5 -0.07798
0.5 22.5 -0.59153
0.5 25.5 -0.099244
0.5 34.5 1.197888
0.5 35.5 1.927688
0.5 42.5 -0.88893
0.5 43.5 -1.96328
0.5 44.5 -3.34355
0.5 45.5 -4.242642
0.5 46.5 -4.63477
0.5 47.5 -5.214522
0.5 48.5 -4.849416
0.5 49.5 -3.302112
0.5 50.5 -0.13797
0.5 51.5 -1.029164
0.5 54.5 -0.010325
1.5 5.5 2.451764
1.5 6.5 10.646013
1.5 7.5 15.635294
1.5 8.5 15.6169
1.5 9.5 15.1923
1.5 10.5 15.993186
1.5 11.5 16.766498
1.5 12.5 15.607984
1.5 13.5 7.691352
1.5 14.5 7.320036
1.5 15.5 5.214874
1.5 17.5 1.723143
1.5 20.5 1.873158
1.5 21.5 -0.235345
1.5 22.5 -0.354904
1.5 35.5 1.64304
1.5 36.5 1.779624
1.5 39.5 -0.003216
