HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20060117.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.16464
0.5 5.5 -2.308808
0.5 6.5 -8.272419
0.5 7.5 -12.147696
0.5 8.5 -10.849118
0.5 9.5 -8.529886
0.5 10.5 -6.99331
0.5 11.5 -6.157272
0.5 12.5 -4.861976
0.5 13.5 -1.875993
0.5 14.5 -0.684435
0.5 15.5 -0.678546
0.5 16.5 -0.72912
0.5 17.5 -0.25553
0.5 18.5 -0.05106
0.5 19.5 -0.04844
0.5 21.5 -0.01498
0.5 22.5 -0.167774
0.5 25.5 -0.038958
0.5 34.5 1.625076
0.5 35.5 1.092952
0.5 37.5 -0.011524
0.5 38.5 -0.04551
0.5 41.5 2.670523
0.5 42.5 4.25544
0.5 43.5 4.0112
0.5 44.5 3.2677
0.5 45.5 1.73976
0.5 47.5 -0.109799
0.5 48.5 -0.084084
0.5 51.5 1.545998
0.5 52.5 2.56852
0.5 54.5 -0.004487
1.5 5.5 -2.117339
1.5 6.5 -7.900711
1.5 7.5 -10.089504
1.5 8.5 -8.802892
1.5 9.5 -7.467456
1.5 10.5 -6.830936
1.5 11.5 -6.198108
1.5 12.5 -4.943148
1.5 13.5 -2.033392
1.5 14.5 -1.541838
1.5 15.5 -0.84219
1.5 16.5 -0.140503
1.5 17.5 -0.33715
1.5 18.5 -0.157058
