HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20020817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 1.359547
0.5 7.5 2.277792
0.5 8.5 3.31812
0.5 9.5 4.01882
0.5 10.5 4.356363
0.5 11.5 4.43418
0.5 12.5 3.82452
0.5 13.5 1.773004
0.5 14.5 1.005795
0.5 15.5 1.967328
0.5 16.5 4.28265
0.5 17.5 2.463714
0.5 19.5 1.066026
0.5 20.5 1.90071
0.5 21.5 -0.00133
0.5 23.5 -0.165888
0.5 24.5 -0.008395
0.5 25.5 -0.096148
0.5 31.5 -0.251566
0.5 32.5 -0.82478
0.5 33.5 -1.597238
0.5 34.5 -4.226372
0.5 35.5 -5.13184
0.5 36.5 -1.8745
0.5 37.5 -0.132999
0.5 38.5 -0.650178
0.5 39.5 -0.87591
0.5 40.5 -0.959322
0.5 41.5 -1.612171
0.5 42.5 -2.27766
0.5 43.5 -2.65696
0.5 44.5 -3.06885
0.5 45.5 -2.441595
0.5 46.5 -1.082958
0.5 48.5 2.323464
0.5 49.5 2.94646
0.5 51.5 3.482718
0.5 52.5 4.72804
0.5 53.5 1.306515
0.5 54.5 -0.013209
1.5 6.5 2.239762
1.5 7.5 2.839656
1.5 8.5 3.183152
1.5 9.5 3.629064
1.5 10.5 4.132038
1.5 11.5 4.300562
1.5 12.5 3.94499
1.5 13.5 2.188368
