HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20030916.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.122392
0.5 6.5 8.531768
0.5 7.5 16.121952
0.5 8.5 19.140164
0.5 9.5 19.486521
0.5 10.5 19.654365
0.5 11.5 20.197156
0.5 12.5 18.029095
0.5 13.5 7.908531
0.5 14.5 3.437934
0.5 15.5 4.340468
0.5 16.5 5.98827
0.5 17.5 2.363526
0.5 20.5 1.382217
0.5 21.5 -0.02023
0.5 22.5 -0.134696
0.5 25.5 -0.043344
0.5 27.5 -0.134196
0.5 28.5 -0.260463
0.5 29.5 -0.313984
0.5 30.5 -0.537207
0.5 31.5 -0.885464
0.5 32.5 -1.5226
0.5 33.5 -2.277664
0.5 34.5 -5.016156
0.5 35.5 -5.014912
0.5 36.5 -1.481775
0.5 37.5 -0.08815
0.5 38.5 -0.424596
0.5 39.5 -0.76884
0.5 40.5 -1.461915
0.5 41.5 -4.07258
0.5 42.5 -7.30065
0.5 43.5 -9.01416
0.5 44.5 -11.10075
0.5 45.5 -11.144349
0.5 46.5 -10.298078
0.5 47.5 -10.531399
0.5 48.5 -9.671376
0.5 49.5 -7.218178
0.5 50.5 -0.389455
0.5 51.5 -5.48925
0.5 52.5 -6.804124
0.5 53.5 -1.752299
1.5 5.5 2.264143
1.5 6.5 9.317322
1.5 7.5 14.732368
