HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20140817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 3.292076
0.5 6.5 10.555388
0.5 7.5 14.694768
0.5 8.5 13.564588
0.5 9.5 12.235999
0.5 10.5 12.594504
0.5 11.5 14.633356
0.5 12.5 15.491504
0.5 13.5 8.049074
0.5 14.5 3.977139
0.5 15.5 5.299844
0.5 16.5 7.02429
0.5 17.5 2.426776
0.5 21.5 -0.000175
0.5 23.5 -0.168048
0.5 24.5 -0.42559
0.5 26.5 -0.17376
0.5 27.5 -0.638862
0.5 28.5 -0.504099
0.5 29.5 -0.38984
0.5 30.5 -0.525611
0.5 31.5 -0.788824
0.5 32.5 -1.35562
0.5 33.5 -2.10919
0.5 34.5 -4.841464
0.5 35.5 -4.990552
0.5 36.5 -1.511675
0.5 37.5 -0.092493
0.5 38.5 -0.448458
0.5 39.5 -0.73616
0.5 40.5 -1.11475
0.5 41.5 -2.342382
0.5 42.5 -3.154095
0.5 43.5 -2.92376
0.5 44.5 -2.6199
0.5 45.5 -1.71999
0.5 46.5 -0.8163
0.5 47.5 -0.310787
0.5 48.5 -0.356928
0.5 49.5 -0.87615
0.5 50.5 -0.106653
0.5 51.5 -2.51661
0.5 52.5 -4.26996
0.5 53.5 -1.2984
1.5 5.5 2.951515
1.5 6.5 10.238284
1.5 7.5 12.841908
