HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20140613.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 2.077118
0.5 7.5 1.975248
0.5 9.5 -0.569531
0.5 10.5 -0.798612
0.5 11.5 -0.385532
0.5 16.5 -0.3627
0.5 17.5 -0.691702
0.5 18.5 -0.30932
0.5 19.5 -0.857388
0.5 20.5 -3.409641
0.5 23.5 -0.727704
0.5 24.5 -1.45927
0.5 26.5 -0.540288
0.5 27.5 -1.977006
0.5 28.5 -1.491678
0.5 29.5 -1.010416
0.5 30.5 -1.049661
0.5 31.5 -1.079348
0.5 32.5 -1.26408
0.5 33.5 -1.588096
0.5 34.5 -3.722848
0.5 35.5 -4.552072
0.5 36.5 -1.738225
0.5 37.5 -0.136267
0.5 38.5 -0.820164
0.5 39.5 -1.52951
0.5 40.5 -2.375373
0.5 41.5 -4.762584
0.5 42.5 -5.9619
0.5 43.5 -5.3912
0.5 44.5 -5.6867
0.5 45.5 -6.10893
0.5 46.5 -6.855106
0.5 47.5 -8.31867
0.5 48.5 -8.188752
0.5 49.5 -5.882536
0.5 50.5 -0.285284
0.5 51.5 -3.613334
0.5 52.5 -4.39266
0.5 53.5 -1.310302
1.5 6.5 1.389136
1.5 7.5 1.03116
1.5 9.5 -0.590604
1.5 10.5 -0.660776
1.5 11.5 -0.140602
1.5 16.5 -0.144118
