HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20080817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.515852
0.5 6.5 10.032038
0.5 7.5 16.93296
0.5 8.5 17.595962
0.5 9.5 15.94449
0.5 10.5 14.694679
0.5 11.5 14.155656
0.5 12.5 12.118673
0.5 13.5 5.199522
0.5 14.5 2.251992
0.5 15.5 2.895332
0.5 16.5 4.19709
0.5 17.5 1.818058
0.5 20.5 1.911054
0.5 21.5 -0.031885
0.5 22.5 -0.148702
0.5 25.5 -0.01376
0.5 28.5 -0.022989
0.5 29.5 -0.065648
0.5 30.5 -0.177954
0.5 31.5 -0.419176
0.5 32.5 -0.97152
0.5 33.5 -1.88064
0.5 34.5 -5.215804
0.5 35.5 -6.466768
0.5 36.5 -2.337375
0.5 37.5 -0.162626
0.5 38.5 -0.791136
0.5 39.5 -1.08446
0.5 40.5 -1.199471
0.5 41.5 -1.871571
0.5 42.5 -2.247315
0.5 43.5 -2.40672
0.5 44.5 -3.12215
0.5 45.5 -3.639657
0.5 46.5 -4.023452
0.5 47.5 -4.823712
0.5 48.5 -4.8906
0.5 49.5 -3.694108
0.5 50.5 -0.18104
0.5 51.5 -2.022296
0.5 52.5 -1.65236
0.5 53.5 -0.226138
1.5 5.5 2.23636
1.5 6.5 9.509647
1.5 7.5 14.256448
1.5 8.5 14.659376
