HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20160214.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Sun May 29 19:00:13 2016
0.5 4.5 -0.130165
0.5 5.5 -2.151806
0.5 6.5 -8.724826
0.5 7.5 -13.698432
0.5 8.5 -12.030312
0.5 9.5 -8.095901
0.5 10.5 -4.311632
0.5 11.5 -0.771064
0.5 12.5 2.266138
0.5 13.5 2.02564
0.5 14.5 1.09386
0.5 15.5 1.1385
0.5 17.5 -0.81466
0.5 18.5 -0.445036
0.5 19.5 -1.298538
0.5 20.5 -5.201739
0.5 22.5 1.294214
0.5 23.5 -1.021248
0.5 24.5 -1.89654
0.5 26.5 -0.553152
0.5 27.5 -1.819278
0.5 28.5 -1.311558
0.5 29.5 -0.936144
0.5 30.5 -1.153133
0.5 31.5 -1.553186
0.5 32.5 -2.41086
0.5 33.5 -3.550361
0.5 34.5 -8.327964
0.5 35.5 -9.503648
0.5 36.5 -3.358
0.5 37.5 -0.235855
0.5 38.5 -1.15128
0.5 39.5 -1.47404
0.5 40.5 -1.206478
0.5 41.5 -0.490266
0.5 42.5 1.39944
0.5 43.5 2.50976
0.5 44.5 2.7675
0.5 45.5 1.87815
0.5 53.5 -0.17312
1.5 5.5 -2.072749
1.5 6.5 -8.941464
1.5 7.5 -12.40697
1.5 8.5 -10.680436
1.5 9.5 -7.622316
1.5 10.5 -4.287386
1.5 11.5 -0.467124
