HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20060717.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.0224
0.5 5.5 -0.826266
0.5 6.5 -4.276351
0.5 7.5 -7.668144
0.5 8.5 -7.71392
0.5 9.5 -6.51572
0.5 10.5 -5.620832
0.5 11.5 -5.267064
0.5 12.5 -4.623493
0.5 13.5 -2.089368
0.5 14.5 -0.913713
0.5 15.5 -1.00694
0.5 16.5 -0.79236
0.5 20.5 1.986048
0.5 21.5 -0.045535
0.5 22.5 -0.281312
0.5 25.5 -0.024768
0.5 31.5 -0.014798
0.5 32.5 -0.41906
0.5 33.5 -0.996478
0.5 34.5 -2.419264
0.5 35.5 -2.130688
0.5 36.5 -0.476675
0.5 37.5 -0.026359
0.5 38.5 -0.230748
0.5 39.5 -0.76798
0.5 40.5 -1.832649
0.5 41.5 -5.002529
0.5 42.5 -8.02179
0.5 43.5 -8.77864
0.5 44.5 -9.8851
0.5 45.5 -9.487623
0.5 46.5 -8.650966
0.5 47.5 -8.756005
0.5 48.5 -7.806084
0.5 49.5 -5.526884
0.5 50.5 -0.279006
0.5 51.5 -3.645988
0.5 52.5 -4.121084
0.5 53.5 -0.93593
1.5 5.5 -0.778953
1.5 6.5 -4.171804
1.5 7.5 -6.624542
1.5 8.5 -6.672196
1.5 9.5 -6.200808
1.5 10.5 -5.99512
