HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20050817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 1.059493
0.5 7.5 3.27096
0.5 8.5 5.09771
0.5 9.5 6.081735
0.5 10.5 6.832933
0.5 11.5 7.666804
0.5 12.5 7.431438
0.5 13.5 3.544301
0.5 14.5 1.68714
0.5 15.5 2.369598
0.5 16.5 3.74139
0.5 17.5 1.763916
0.5 20.5 2.658408
0.5 21.5 -0.05943
0.5 22.5 -0.44998
0.5 25.5 -0.120056
0.5 31.5 -0.091204
0.5 32.5 -0.31648
0.5 33.5 -0.714382
0.5 34.5 -2.072816
0.5 35.5 -2.544808
0.5 36.5 -0.911375
0.5 37.5 -0.068499
0.5 38.5 -0.42927
0.5 39.5 -0.9202
0.5 40.5 -1.769586
0.5 41.5 -4.639369
0.5 42.5 -7.895055
0.5 43.5 -9.55328
0.5 44.5 -11.8121
0.5 45.5 -11.877816
0.5 46.5 -10.577434
0.5 47.5 -9.673478
0.5 48.5 -7.179744
0.5 49.5 -3.851166
0.5 50.5 -0.129283
0.5 51.5 -0.88954
0.5 52.5 -0.202864
0.5 54.5 -0.002331
1.5 6.5 1.286929
1.5 7.5 3.0406
1.5 8.5 4.43016
1.5 9.5 5.636904
1.5 10.5 7.058488
1.5 11.5 8.200234
1.5 12.5 8.158402
1.5 13.5 4.315948
1.5 14.5 4.617304
