HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20110916.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 5.16846
0.5 6.5 20.158279
0.5 7.5 31.377456
0.5 8.5 29.257594
0.5 9.5 23.800213
0.5 10.5 20.138769
0.5 11.5 18.438096
0.5 12.5 15.458534
0.5 13.5 6.541224
0.5 14.5 2.715492
0.5 15.5 3.133152
0.5 16.5 3.76092
0.5 17.5 1.298396
0.5 20.5 1.181802
0.5 21.5 -0.015995
0.5 23.5 -0.141264
0.5 24.5 -0.40953
0.5 26.5 -0.159264
0.5 27.5 -0.547914
0.5 28.5 -0.394842
0.5 29.5 -0.272272
0.5 30.5 -0.326918
0.5 31.5 -0.452698
0.5 32.5 -0.7544
0.5 33.5 -1.167564
0.5 34.5 -2.692312
0.5 35.5 -2.843624
0.5 36.5 -0.937825
0.5 37.5 -0.069531
0.5 38.5 -0.4428
0.5 39.5 -0.93568
0.5 40.5 -1.710345
0.5 41.5 -4.277506
0.5 42.5 -7.2114
0.5 43.5 -9.06384
0.5 44.5 -12.05605
0.5 45.5 -13.273578
0.5 46.5 -13.082568
0.5 47.5 -13.508999
0.5 48.5 -11.821524
0.5 49.5 -8.074858
0.5 50.5 -0.390404
0.5 51.5 -4.82491
0.5 52.5 -4.961988
0.5 53.5 -0.911044
1.5 5.5 4.379767
1.5 6.5 18.455507
