HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20040317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.25872
0.5 5.5 -3.367712
0.5 6.5 -11.486951
0.5 7.5 -16.58448
0.5 8.5 -14.96699
0.5 9.5 -12.099264
0.5 10.5 -10.303404
0.5 11.5 -9.547256
0.5 12.5 -8.134798
0.5 13.5 -3.511299
0.5 14.5 -1.481346
0.5 15.5 -1.70269
0.5 16.5 -1.9623
0.5 17.5 -0.650716
0.5 18.5 -0.147408
0.5 19.5 -0.378178
0.5 20.5 -1.622715
0.5 23.5 -0.145584
0.5 24.5 -0.22484
0.5 26.5 -0.107808
0.5 27.5 -0.398772
0.5 28.5 -0.264255
0.5 29.5 -0.14432
0.5 30.5 -0.123319
0.5 31.5 -0.111438
0.5 32.5 -0.05704
0.5 34.5 1.699944
0.5 35.5 3.260992
0.5 36.5 1.515125
0.5 39.5 1.48436
0.5 40.5 2.690051
0.5 41.5 6.804062
0.5 42.5 10.8885
0.5 43.5 11.77784
0.5 44.5 12.43325
0.5 45.5 10.541364
0.5 46.5 8.2537
0.5 47.5 7.308147
0.5 48.5 5.901324
0.5 49.5 3.825206
0.5 51.5 1.916452
0.5 52.5 1.688352
1.5 5.5 -3.129189
1.5 6.5 -11.386739
1.5 7.5 -14.65437
1.5 8.5 -13.12054
1.5 9.5 -11.462844
