HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120117.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.155626
0.5 6.5 8.221247
0.5 7.5 10.966032
0.5 8.5 7.526744
0.5 9.5 3.559866
0.5 10.5 1.024449
0.5 11.5 -0.259644
0.5 12.5 -0.509936
0.5 13.5 -0.083643
0.5 18.5 -0.007548
0.5 19.5 -0.140476
0.5 20.5 -1.003368
0.5 23.5 -0.266328
0.5 24.5 -0.450775
0.5 26.5 -0.145536
0.5 27.5 -0.533922
0.5 28.5 -0.399108
0.5 29.5 -0.262768
0.5 30.5 -0.264478
0.5 31.5 -0.26425
0.5 32.5 -0.27922
0.5 33.5 -0.224632
0.5 34.5 -0.08808
0.5 37.5 -0.004429
0.5 38.5 -0.160392
0.5 39.5 -0.51815
0.5 40.5 -0.94276
0.5 41.5 -1.758732
0.5 42.5 -1.683255
0.5 43.5 -0.9108
0.5 44.5 -0.4715
0.5 45.5 -0.407262
0.5 46.5 -0.629458
0.5 47.5 -1.04216
0.5 48.5 -1.42428
0.5 49.5 -1.571878
0.5 50.5 -0.126363
0.5 51.5 -2.602186
0.5 52.5 -4.552988
0.5 53.5 -1.61218
1.5 5.5 1.702652
1.5 6.5 6.708296
1.5 7.5 7.83946
1.5 8.5 5.380652
1.5 9.5 2.927388
1.5 10.5 1.246066
1.5 17.5 -0.034328
