HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120616.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.501336
0.5 6.5 8.922536
0.5 7.5 11.347776
0.5 8.5 7.308372
0.5 9.5 2.927318
0.5 11.5 -1.310584
0.5 12.5 -1.502333
0.5 13.5 -0.52917
0.5 14.5 -0.122673
0.5 15.5 -0.024794
0.5 23.5 -0.557064
0.5 24.5 -1.15778
0.5 26.5 -0.258144
0.5 27.5 -0.598794
0.5 28.5 -0.242451
0.5 29.5 -0.058608
0.5 31.5 -0.002718
0.5 32.5 -0.1702
0.5 33.5 -0.56811
0.5 34.5 -1.870232
0.5 35.5 -2.307704
0.5 36.5 -0.758425
0.5 37.5 -0.049106
0.5 38.5 -0.277242
0.5 39.5 -0.6149
0.5 40.5 -1.300117
0.5 41.5 -3.61863
0.5 42.5 -6.15111
0.5 43.5 -7.03616
0.5 44.5 -7.90275
0.5 45.5 -7.081614
0.5 46.5 -5.679634
0.5 47.5 -4.937233
0.5 48.5 -3.914196
0.5 49.5 -2.715416
0.5 50.5 -0.1533
0.5 51.5 -2.553768
0.5 52.5 -4.16362
0.5 53.5 -1.560785
1.5 5.5 1.638511
1.5 6.5 6.741266
1.5 7.5 8.378836
1.5 8.5 6.17058
1.5 9.5 3.598092
1.5 10.5 1.50425
1.5 11.5 -0.149898
1.5 12.5 -1.082984
