HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20160616.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
0.5 5.5 -0.160058
0.5 6.5 -2.648151
0.5 7.5 -6.008112
0.5 8.5 -6.148448
0.5 9.5 -4.310125
0.5 10.5 -2.056535
0.5 12.5 2.128763
0.5 13.5 1.505574
0.5 16.5 -0.52266
0.5 17.5 -0.933064
0.5 18.5 -0.387464
0.5 19.5 -1.00859
0.5 20.5 -3.809178
0.5 23.5 -0.711288
0.5 24.5 -1.307795
0.5 26.5 -0.375936
0.5 27.5 -1.218894
0.5 28.5 -0.858177
0.5 29.5 -0.59928
0.5 30.5 -0.743036
0.5 31.5 -1.051262
0.5 32.5 -1.74708
0.5 33.5 -2.68383
0.5 34.5 -6.192024
0.5 35.5 -6.518736
0.5 36.5 -2.0286
0.5 37.5 -0.123883
0.5 38.5 -0.532836
0.5 39.5 -0.59297
0.5 40.5 -0.281554
0.5 42.5 3.471825
0.5 43.5 5.73712
0.5 44.5 8.1836
0.5 45.5 8.77788
0.5 46.5 8.123092
0.5 47.5 7.814339
0.5 48.5 6.326892
0.5 49.5 3.858954
0.5 51.5 1.24986
0.5 53.5 -0.180694
1.5 5.5 -0.244216
1.5 6.5 -2.529898
1.5 7.5 -4.7592
1.5 8.5 -4.751288
1.5 9.5 -3.629064
1.5 10.5 -1.992174
1.5 12.5 1.83015
1.5 13.5 1.406808
1.5 14.5 1.275834
