HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20110416.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.06832
0.5 5.5 -0.32852
0.5 6.5 -0.233763
0.5 7.5 -0.510048
0.5 8.5 -1.82922
0.5 9.5 -3.292341
0.5 10.5 -4.502557
0.5 11.5 -5.347992
0.5 12.5 -4.871867
0.5 13.5 -1.947118
0.5 14.5 -0.714408
0.5 15.5 -0.815166
0.5 16.5 -1.34757
0.5 17.5 -0.788348
0.5 18.5 -0.228956
0.5 19.5 -0.421428
0.5 20.5 -0.901221
0.5 23.5 -0.11772
0.5 24.5 -0.344195
0.5 26.5 -0.118752
0.5 27.5 -0.351072
0.5 28.5 -0.218277
0.5 29.5 -0.128656
0.5 30.5 -0.106594
0.5 31.5 -0.02718
0.5 34.5 2.284208
0.5 35.5 3.265864
0.5 36.5 1.378275
0.5 39.5 1.42717
0.5 40.5 2.186821
0.5 41.5 4.381266
0.5 42.5 5.59776
0.5 43.5 4.94592
0.5 44.5 4.1082
0.5 45.5 2.143068
0.5 47.5 -1.89822
0.5 48.5 -3.07164
0.5 49.5 -2.773826
0.5 50.5 -0.150234
0.5 51.5 -1.922082
0.5 52.5 -2.15952
0.5 53.5 -0.58428
1.5 5.5 -0.63112
1.5 6.5 -1.695757
1.5 7.5 -2.365058
1.5 8.5 -2.987428
1.5 9.5 -3.78072
