HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20061116.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_end=2006 11 30
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 1.292306
0.5 6.5 4.403118
0.5 7.5 6.567264
0.5 8.5 6.276068
0.5 9.5 5.480101
0.5 10.5 5.102607
0.5 11.5 5.144548
0.5 12.5 4.650968
0.5 13.5 2.050107
0.5 16.5 1.02858
0.5 21.5 -0.00441
0.5 23.5 -0.105192
0.5 24.5 -0.33799
0.5 26.5 -0.154176
0.5 27.5 -0.511662
0.5 28.5 -0.32706
0.5 29.5 -0.193424
0.5 30.5 -0.225676
0.5 31.5 -0.379614
0.5 32.5 -0.80086
0.5 33.5 -1.415051
0.5 34.5 -3.242812
0.5 35.5 -2.796528
0.5 36.5 -0.476675
0.5 42.5 -0.183855
0.5 43.5 -1.78664
0.5 44.5 -3.608
0.5 45.5 -4.493721
0.5 46.5 -4.339088
0.5 47.5 -3.997428
0.5 48.5 -2.932644
0.5 49.5 -1.645864
0.5 50.5 -0.066576
0.5 51.5 -0.642946
0.5 52.5 -0.14724
0.5 54.5 -0.010976
1.5 5.5 1.223138
1.5 6.5 4.414683
1.5 7.5 5.845884
1.5 8.5 5.562312
1.5 9.5 5.288736
1.5 10.5 5.450308
1.5 11.5 5.527634
1.5 12.5 4.900154
1.5 13.5 2.259844
1.5 14.5 1.963011
1.5 15.5 1.211748
