HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20130517.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.049875
0.5 5.5 -0.113836
0.5 8.5 -0.0709
0.5 9.5 -1.255584
0.5 10.5 -1.994348
0.5 11.5 -2.274976
0.5 12.5 -1.905666
0.5 13.5 -0.774409
0.5 14.5 -0.400155
0.5 15.5 -0.820226
0.5 16.5 -1.95114
0.5 17.5 -1.20681
0.5 18.5 -0.343804
0.5 19.5 -0.708262
0.5 20.5 -2.39205
0.5 23.5 -0.585576
0.5 24.5 -1.0804
0.5 26.5 -0.27264
0.5 27.5 -0.852558
0.5 28.5 -0.602691
0.5 29.5 -0.415712
0.5 30.5 -0.453805
0.5 31.5 -0.456322
0.5 32.5 -0.38134
0.5 33.5 -0.054199
0.5 35.5 2.049488
0.5 36.5 1.016025
0.5 39.5 1.14466
0.5 40.5 1.880424
0.5 41.5 4.29307
0.5 42.5 6.51882
0.5 43.5 7.01776
0.5 44.5 7.4538
0.5 45.5 6.06939
0.5 46.5 4.005312
0.5 47.5 2.27042
0.5 49.5 -0.833316
0.5 50.5 -0.106361
0.5 51.5 -2.459184
0.5 52.5 -4.52354
0.5 53.5 -1.693871
1.5 5.5 -0.228781
1.5 6.5 -0.135177
1.5 7.5 -0.28423
1.5 8.5 -1.029016
1.5 9.5 -1.79424
1.5 10.5 -2.328032
