HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20150317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Mon Oct 26 13:04:48 2015
0.5 4.5 -0.03948
0.5 5.5 -0.704026
0.5 6.5 -3.328506
0.5 7.5 -6.285312
0.5 8.5 -6.711394
0.5 9.5 -5.597812
0.5 10.5 -4.030154
0.5 11.5 -2.160328
0.5 17.5 -0.498916
0.5 18.5 -0.273504
0.5 19.5 -0.80964
0.5 20.5 -3.392832
0.5 23.5 -0.750816
0.5 24.5 -1.307065
0.5 26.5 -0.300672
0.5 27.5 -0.870684
0.5 28.5 -0.55932
0.5 29.5 -0.353936
0.5 30.5 -0.36795
0.5 31.5 -0.375084
0.5 32.5 -0.37352
0.5 33.5 -0.288626
0.5 34.5 -0.314152
0.5 35.5 -0.217616
0.5 36.5 -0.052325
0.5 40.5 1.96833
0.5 41.5 5.814451
0.5 42.5 9.840705
0.5 43.5 10.82104
0.5 44.5 11.2955
0.5 45.5 9.05466
0.5 46.5 6.218392
0.5 47.5 4.42918
0.5 48.5 2.757612
0.5 49.5 1.409628
0.5 52.5 -0.93252
0.5 53.5 -0.776876
1.5 5.5 -0.747054
1.5 6.5 -3.688244
1.5 7.5 -5.959576
1.5 8.5 -6.056896
1.5 9.5 -5.2599
1.5 10.5 -4.019356
1.5 11.5 -2.032338
1.5 13.5 1.000664
1.5 14.5 1.466306
1.5 17.5 -0.677978
