HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20070317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
6.5 50.5 7.169296
6.5 51.5 7.358208
6.5 52.5 5.467255
6.5 53.5 1.065254
6.5 57.5 -0.04377
6.5 58.5 25.570326
6.5 59.5 47.991867
6.5 60.5 45.711864
6.5 61.5 38.774484
6.5 62.5 9.47661
7.5 -70.5 32767
7.5 3.5 -0.065676
7.5 4.5 -8.022448
7.5 5.5 -25.404222
7.5 6.5 -21.38526
7.5 7.5 -28.41812
7.5 8.5 -26.948038
7.5 9.5 -15.581293
7.5 10.5 -13.892208
7.5 11.5 -9.592913
7.5 12.5 -7.204284
7.5 13.5 -3.2753
7.5 14.5 -1.774278
7.5 15.5 -2.77128
7.5 16.5 -0.09
7.5 17.5 -0.038528
7.5 34.5 1.23205
7.5 35.5 3.566322
7.5 36.5 4.33719
7.5 43.5 -0.01328
7.5 44.5 3.523784
7.5 45.5 7.010444
7.5 46.5 8.58176
7.5 47.5 7.663737
7.5 48.5 8.058689
7.5 49.5 9.077112
7.5 50.5 9.878704
7.5 51.5 6.84297
7.5 52.5 7.172802
7.5 53.5 5.344947
7.5 57.5 -0.103272
7.5 58.5 20.480409
7.5 59.5 44.112492
7.5 60.5 44.361204
7.5 61.5 40.64416
7.5 62.5 27.33388
7.5 63.5 2.82079
8.5 -1.5 -0.165148
8.5 -0.5 -0.425124
8.5 3.5 -0.646068
8.5 4.5 -7.745439
8.5 5.5 -22.303616
8.5 6.5 -24.797148
8.5 7.5 -25.041144
8.5 8.5 -21.707892
8.5 9.5 -14.529359
8.5 10.5 -12.536193
8.5 11.5 -9.184212
8.5 12.5 -7.228278
8.5 13.5 -3.248439
8.5 14.5 -2.245094
8.5 15.5 -2.7132
8.5 16.5 -0.250179
8.5 34.5 1.339156
8.5 35.5 4.346692
8.5 36.5 7.017465
8.5 39.5 3.135402
8.5 40.5 5.41548
8.5 41.5 2.50976
8.5 42.5 -0.06696
8.5 43.5 -0.023967
8.5 44.5 3.744981
8.5 45.5 5.858232
8.5 46.5 7.88346
8.5 47.5 7.299881
8.5 48.5 5.282238
8.5 49.5 8.691005
8.5 50.5 8.44514
8.5 51.5 7.110557
8.5 52.5 7.145353
8.5 53.5 4.7333
8.5 54.5 1.740358
8.5 55.5 3.516992
8.5 56.5 4.412004
8.5 57.5 1.357138
8.5 58.5 7.424352
8.5 59.5 16.902144
8.5 60.5 21.189762
8.5 61.5 23.335934
8.5 62.5 22.70532
8.5 63.5 2.50839
8.5 64.5 -0.004531
9.5 -1.5 -0.473526
9.5 -0.5 -3.249824
9.5 1.5 -1.902054
9.5 2.5 -4.645488
9.5 3.5 -9.854772
9.5 4.5 -17.897455
9.5 5.5 -20.846718
9.5 6.5 -23.2401
9.5 7.5 -22.584392
9.5 8.5 -20.301645
9.5 9.5 -14.38448
9.5 10.5 -10.377892
9.5 11.5 -8.672724
9.5 12.5 -7.421844
9.5 13.5 -3.767988
9.5 14.5 -2.259216
9.5 15.5 -1.928511
9.5 16.5 -0.327613
9.5 34.5 1.496764
9.5 35.5 4.04838
9.5 36.5 7.101864
9.5 37.5 -0.135636
9.5 38.5 1.705328
9.5 39.5 5.431588
9.5 40.5 7.189884
9.5 41.5 3.09918
9.5 42.5 -0.1081
9.5 43.5 1.121295
9.5 44.5 4.184792
9.5 45.5 4.989528
9.5 46.5 7.26435
9.5 47.5 6.594604
9.5 48.5 5.166015
9.5 49.5 8.67748
9.5 50.5 8.462932
9.5 51.5 7.740135
9.5 52.5 7.08768
9.5 53.5 5.7105
9.5 54.5 3.355392
9.5 55.5 3.273666
9.5 56.5 3.064849
9.5 58.5 1.677571
9.5 59.5 5.870984
9.5 60.5 10.72467
9.5 61.5 14.28154
9.5 62.5 19.416585
9.5 63.5 9.531223
10.5 -18.5 -0.000792
10.5 -17.5 -0.002536
10.5 -16.5 -0.003522
10.5 -15.5 -0.00393
10.5 -3.5 1.041216
10.5 -2.5 1.70856
10.5 -1.5 -0.047286
10.5 -0.5 -4.44053
10.5 1.5 -4.503912
10.5 2.5 -10.789884
10.5 3.5 -19.05852
10.5 4.5 -25.638854
10.5 5.5 -24.359881
10.5 6.5 -21.913455
10.5 7.5 -20.47155
10.5 8.5 -20.441688
10.5 9.5 -13.984568
10.5 10.5 -7.986048
10.5 11.5 -7.47456
10.5 12.5 -7.687249
10.5 13.5 -3.909426
10.5 14.5 -1.755912
10.5 15.5 -1.046823
10.5 16.5 -0.263446
10.5 33.5 1.079444
10.5 34.5 1.182442
10.5 35.5 3.594513
10.5 36.5 4.37128
10.5 37.5 -0.182096
10.5 38.5 1.493982
10.5 39.5 4.211907
10.5 40.5 4.60782
10.5 41.5 1.8123
10.5 43.5 3.073158
10.5 44.5 4.521558
10.5 45.5 4.62422
10.5 46.5 5.2221
10.5 47.5 5.474234
10.5 48.5 5.976573
10.5 49.5 8.5609
10.5 50.5 8.719645
10.5 51.5 8.16953
10.5 52.5 7.360786
10.5 53.5 6.475275
