HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20100117.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 3.515749
0.5 7.5 4.108896
0.5 8.5 1.927062
0.5 9.5 -0.121278
0.5 10.5 -1.21101
0.5 11.5 -1.499416
0.5 12.5 -1.078119
0.5 13.5 -0.346521
0.5 14.5 -0.206721
0.5 15.5 -0.59202
0.5 16.5 -1.58844
0.5 17.5 -0.930534
0.5 18.5 -0.216968
0.5 19.5 -0.32351
0.5 20.5 -0.967164
0.5 23.5 -0.608688
0.5 24.5 -1.166175
0.5 26.5 -0.259872
0.5 27.5 -0.738396
0.5 28.5 -0.468549
0.5 29.5 -0.266464
0.5 30.5 -0.171487
0.5 33.5 1.298817
0.5 34.5 3.518796
0.5 35.5 4.20616
0.5 36.5 1.607125
0.5 39.5 1.71054
0.5 40.5 2.691325
0.5 41.5 5.561536
0.5 42.5 7.423815
0.5 43.5 6.9736
0.5 44.5 6.38985
0.5 45.5 4.313814
0.5 46.5 2.211266
0.5 47.5 1.105434
0.5 48.5 1.007292
0.5 49.5 1.514766
0.5 51.5 2.810496
0.5 52.5 3.996748
0.5 53.5 1.015998
0.5 54.5 -0.008197
1.5 6.5 1.979299
1.5 7.5 2.484038
1.5 8.5 1.518912
1.5 10.5 -0.392746
1.5 11.5 -0.782026
1.5 12.5 -0.77854
1.5 13.5 -0.478956
