HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20090117.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 2.427181
0.5 7.5 3.644784
0.5 8.5 2.645988
0.5 9.5 1.254395
0.5 11.5 -0.130384
0.5 12.5 -0.195622
0.5 13.5 -0.053486
0.5 14.5 -0.021012
0.5 15.5 -0.080454
0.5 16.5 -0.26877
0.5 17.5 -0.185196
0.5 18.5 -0.05772
0.5 19.5 -0.153624
0.5 20.5 -0.777093
0.5 23.5 -0.274536
0.5 24.5 -0.476325
0.5 26.5 -0.090336
0.5 27.5 -0.15264
0.5 32.5 1.7963
0.5 33.5 2.652486
0.5 34.5 5.375816
0.5 35.5 4.57156
0.5 36.5 1.02695
0.5 41.5 2.967536
0.5 42.5 5.42283
0.5 43.5 6.45104
0.5 44.5 7.5932
0.5 45.5 7.370256
0.5 46.5 6.568494
0.5 47.5 6.206435
0.5 48.5 4.818528
0.5 49.5 2.695946
1.5 6.5 1.738618
1.5 7.5 2.357126
1.5 8.5 1.75214
1.5 12.5 -0.016268
1.5 13.5 -0.045424
1.5 14.5 -0.154348
1.5 15.5 -0.288272
1.5 16.5 -0.102425
1.5 17.5 -0.232327
1.5 18.5 -0.067518
1.5 19.5 -0.026112
1.5 20.5 -0.386236
1.5 23.5 -0.080534
1.5 24.5 -0.216635
1.5 25.5 -0.032835
1.5 26.5 -0.120835
