HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 4.059132
0.5 6.5 16.206405
0.5 7.5 25.374096
0.5 8.5 23.852178
0.5 9.5 19.991846
0.5 10.5 18.010228
0.5 11.5 18.026712
0.5 12.5 16.63886
0.5 13.5 7.673534
0.5 14.5 3.419703
0.5 15.5 4.185632
0.5 16.5 5.23962
0.5 17.5 1.763916
0.5 20.5 -0.796488
0.5 23.5 -0.40068
0.5 24.5 -0.653715
0.5 26.5 -0.225024
0.5 27.5 -0.893898
0.5 28.5 -0.70626
0.5 29.5 -0.471856
0.5 30.5 -0.463171
0.5 31.5 -0.470516
0.5 32.5 -0.66608
0.5 33.5 -1.168217
0.5 34.5 -3.451268
0.5 35.5 -4.641392
0.5 36.5 -1.845175
0.5 37.5 -0.151747
0.5 38.5 -0.989166
0.5 39.5 -2.04895
0.5 40.5 -3.590769
0.5 41.5 -8.294315
0.5 42.5 -12.21654
0.5 43.5 -12.78064
0.5 44.5 -13.93385
0.5 45.5 -12.882132
0.5 46.5 -11.161542
0.5 47.5 -10.550009
0.5 48.5 -8.573136
0.5 49.5 -5.329588
0.5 50.5 -0.222139
0.5 51.5 -2.15066
0.5 52.5 -1.379148
0.5 54.5 -0.004025
1.5 5.5 3.297945
1.5 6.5 14.515592
1.5 7.5 20.796382
