HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20130117.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 2.148368
0.5 6.5 8.273582
0.5 7.5 11.685168
0.5 8.5 9.175878
0.5 9.5 5.960457
0.5 10.5 4.128344
0.5 11.5 3.659744
0.5 12.5 3.690442
0.5 13.5 2.055797
0.5 14.5 1.089534
0.5 15.5 1.47246
0.5 16.5 1.80885
0.5 19.5 -0.097572
0.5 20.5 -0.907686
0.5 23.5 -0.446472
0.5 24.5 -0.888045
0.5 26.5 -0.299808
0.5 27.5 -1.103142
0.5 28.5 -0.866235
0.5 29.5 -0.615648
0.5 30.5 -0.651829
0.5 31.5 -0.614268
0.5 32.5 -0.49404
0.5 33.5 -0.193288
0.5 36.5 -0.03565
0.5 37.5 -0.020554
0.5 38.5 -0.209592
0.5 39.5 -0.40764
0.5 40.5 -0.370734
0.5 42.5 2.43474
0.5 43.5 4.30744
0.5 44.5 5.81995
0.5 45.5 5.39721
0.5 46.5 3.959962
0.5 47.5 2.873384
0.5 48.5 1.899612
0.5 49.5 1.240888
0.5 51.5 1.044928
0.5 52.5 1.192644
1.5 5.5 1.651545
1.5 6.5 6.772038
1.5 7.5 8.615474
1.5 8.5 6.93238
1.5 9.5 5.166984
1.5 10.5 4.25019
1.5 11.5 3.96242
1.5 12.5 3.888052
1.5 13.5 2.229784
