HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20050916.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 1.595614
0.5 6.5 7.083833
0.5 7.5 14.067504
0.5 8.5 16.78203
0.5 9.5 16.707828
0.5 10.5 16.213351
0.5 11.5 15.892236
0.5 12.5 13.556165
0.5 13.5 5.79811
0.5 14.5 2.57706
0.5 15.5 3.55971
0.5 16.5 5.70276
0.5 17.5 2.688884
0.5 19.5 1.1591
0.5 20.5 3.182073
0.5 21.5 -0.06692
0.5 22.5 -0.517924
0.5 25.5 -0.147404
0.5 30.5 -0.023192
0.5 31.5 -0.129558
0.5 32.5 -0.34316
0.5 33.5 -0.688915
0.5 34.5 -2.009692
0.5 35.5 -2.762424
0.5 36.5 -1.177025
0.5 37.5 -0.102082
0.5 38.5 -0.651654
0.5 39.5 -1.2427
0.5 40.5 -2.029482
0.5 41.5 -4.743129
0.5 42.5 -7.755825
0.5 43.5 -9.45208
0.5 44.5 -11.83055
0.5 45.5 -11.794782
0.5 46.5 -10.109422
0.5 47.5 -8.666677
0.5 48.5 -5.92878
0.5 49.5 -2.884156
0.5 50.5 -0.080592
0.5 51.5 -0.115978
0.5 52.5 1.369332
0.5 54.5 -0.017269
1.5 5.5 1.594264
1.5 6.5 7.284172
1.5 7.5 12.447952
1.5 8.5 14.430836
1.5 9.5 15.409104
1.5 10.5 16.511742
