HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20100215.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.067165
0.5 5.5 -0.440064
0.5 6.5 -0.122115
0.5 10.5 -0.814977
0.5 11.5 -1.501664
0.5 12.5 -1.602342
0.5 13.5 -0.642401
0.5 14.5 -0.164388
0.5 20.5 -0.396951
0.5 23.5 -0.2052
0.5 24.5 -0.24163
0.5 26.5 -0.007296
0.5 32.5 1.44072
0.5 33.5 2.586533
0.5 34.5 6.68674
0.5 35.5 7.931616
0.5 36.5 2.8865
0.5 38.5 1.252878
0.5 39.5 2.16763
0.5 40.5 3.055689
0.5 41.5 5.548566
0.5 42.5 6.30462
0.5 43.5 5.06552
0.5 44.5 4.46695
0.5 45.5 3.83538
0.5 46.5 3.580836
0.5 47.5 3.850409
0.5 48.5 3.445728
0.5 49.5 2.2066
0.5 53.5 -0.199629
1.5 5.5 -0.800219
1.5 6.5 -1.085812
1.5 10.5 -0.449634
1.5 11.5 -1.159676
1.5 12.5 -1.467606
1.5 13.5 -0.77488
1.5 14.5 -0.652695
1.5 15.5 -0.269836
1.5 20.5 -0.27712
1.5 23.5 -0.061372
1.5 24.5 -0.124875
1.5 25.5 -0.012276
1.5 26.5 -0.020956
1.5 33.5 1.905249
1.5 34.5 5.44456
1.5 35.5 9.077796
1.5 36.5 7.15176
1.5 39.5 -0.013983
