HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20070616.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.14952
0.5 5.5 -2.361524
0.5 6.5 -9.351683
0.5 7.5 -14.832576
0.5 8.5 -14.050962
0.5 9.5 -11.582049
0.5 10.5 -9.91719
0.5 11.5 -9.197692
0.5 12.5 -7.880929
0.5 13.5 -3.507885
0.5 14.5 -1.629048
0.5 15.5 -2.308878
0.5 16.5 -3.72093
0.5 17.5 -1.744688
0.5 18.5 -0.41144
0.5 19.5 -0.698228
0.5 20.5 -1.753308
0.5 23.5 -0.271728
0.5 24.5 -0.48764
0.5 26.5 -0.058368
0.5 27.5 -0.05247
0.5 28.5 -0.004029
0.5 29.5 -0.036256
0.5 30.5 -0.124434
0.5 31.5 -0.256398
0.5 32.5 -0.4531
0.5 33.5 -0.675202
0.5 34.5 -1.6148
0.5 35.5 -1.927688
0.5 36.5 -0.66585
0.5 37.5 -0.036808
0.5 38.5 -0.06027
0.5 41.5 2.232137
0.5 42.5 3.382575
0.5 43.5 3.39848
0.5 44.5 3.4481
0.5 45.5 2.894328
0.5 46.5 2.182242
0.5 47.5 1.641402
0.5 50.5 -0.029054
0.5 51.5 -0.891792
0.5 52.5 -1.763608
0.5 53.5 -0.673004
1.5 5.5 -2.001748
1.5 6.5 -8.377677
1.5 7.5 -11.875526
1.5 8.5 -11.307456
