HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20111102.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_start=2011 10 17
HDR time_end=2011 11 16
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
4.5 30.5 -0.917125
4.5 31.5 -0.685248
4.5 32.5 -0.555325
4.5 33.5 -0.415888
4.5 34.5 -0.697537
4.5 35.5 -1.2341
4.5 36.5 -1.299432
4.5 37.5 -0.003102
4.5 43.5 -3.81876
4.5 44.5 -7.998354
4.5 45.5 -9.081684
4.5 46.5 -10.229922
4.5 47.5 -9.4932
4.5 48.5 -9.460183
4.5 49.5 -7.349976
4.5 50.5 -5.982462
4.5 51.5 -3.1637
4.5 52.5 -0.37185
4.5 59.5 -0.003369
4.5 60.5 -0.01056
4.5 61.5 -0.019325
4.5 62.5 -0.004267
5.5 4.5 19.70411
5.5 5.5 51.575
5.5 6.5 24.171592
5.5 7.5 23.963025
5.5 8.5 29.686029
5.5 9.5 30.426843
5.5 10.5 21.475428
5.5 11.5 14.5842
5.5 12.5 10.322922
5.5 13.5 4.429952
5.5 14.5 3.690128
5.5 15.5 1.964319
5.5 17.5 -0.289872
5.5 18.5 -0.154845
5.5 19.5 -0.489645
5.5 20.5 -1.80336
5.5 21.5 -1.46461
5.5 22.5 -0.722645
5.5 23.5 -0.91182
5.5 24.5 -0.865059
5.5 25.5 -0.404772
5.5 26.5 -0.403886
5.5 27.5 -0.83083
5.5 28.5 -0.803114
5.5 29.5 -0.897176
5.5 30.5 -0.887117
5.5 31.5 -0.64944
5.5 32.5 -0.63457
5.5 33.5 -0.643104
5.5 34.5 -0.68944
5.5 35.5 -1.661778
5.5 36.5 -1.712087
5.5 37.5 -0.003198
5.5 42.5 -0.555493
5.5 43.5 -3.960684
5.5 44.5 -8.49117
5.5 45.5 -10.206252
5.5 46.5 -9.079695
5.5 47.5 -8.988816
5.5 48.5 -8.953014
5.5 49.5 -7.223625
5.5 50.5 -5.567972
5.5 51.5 -4.914403
5.5 52.5 -1.201312
5.5 53.5 -6.9e-05
5.5 57.5 -0.011421
5.5 58.5 7.779135
5.5 59.5 12.097197
5.5 60.5 11.189392
5.5 61.5 10.809486
5.5 62.5 1.933252
5.5 63.5 -0.055368
6.5 4.5 35.924939
6.5 5.5 87.68916
6.5 6.5 24.397588
6.5 7.5 24.26626
6.5 8.5 32.953142
6.5 9.5 30.309883
6.5 10.5 20.328162
