HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20020416.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.240695
0.5 5.5 -3.200778
0.5 6.5 -11.178756
0.5 7.5 -17.555472
0.5 8.5 -18.08659
0.5 9.5 -16.519966
0.5 10.5 -14.895423
0.5 11.5 -13.322772
0.5 12.5 -10.164651
0.5 13.5 -3.97731
0.5 14.5 -1.77366
0.5 15.5 -2.64132
0.5 16.5 -4.24638
0.5 17.5 -1.607056
0.5 18.5 -0.18796
0.5 20.5 1.070604
0.5 21.5 -0.01099
0.5 23.5 -0.22248
0.5 24.5 -0.350035
0.5 26.5 -0.072192
0.5 27.5 -0.33708
0.5 28.5 -0.298146
0.5 29.5 -0.187968
0.5 30.5 -0.162121
0.5 31.5 -0.240694
0.5 32.5 -0.69966
0.5 33.5 -1.529979
0.5 34.5 -3.213452
0.5 35.5 -0.620368
0.5 36.5 1.478325
0.5 38.5 1.38252
0.5 39.5 1.63142
0.5 41.5 -1.84174
0.5 42.5 -3.039855
0.5 43.5 -0.5888
0.5 44.5 2.76135
0.5 45.5 4.035057
0.5 46.5 2.907842
0.5 47.5 1.728869
0.5 48.5 1.72458
0.5 49.5 2.52461
0.5 51.5 3.066098
0.5 52.5 2.043364
0.5 53.5 -0.372749
1.5 5.5 -2.421237
1.5 6.5 -9.199729
1.5 7.5 -13.86117
