HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120913.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 5.715866
0.5 6.5 21.91092
0.5 7.5 35.1252
0.5 8.5 34.98206
0.5 9.5 31.135154
0.5 10.5 29.080605
0.5 11.5 29.222876
0.5 12.5 26.539751
0.5 13.5 12.041747
0.5 14.5 5.35806
0.5 15.5 6.680718
0.5 16.5 8.67597
0.5 17.5 3.098744
0.5 23.5 -0.290952
0.5 24.5 -0.469025
0.5 26.5 -0.124032
0.5 27.5 -0.553002
0.5 28.5 -0.569985
0.5 29.5 -0.535392
0.5 30.5 -0.768235
0.5 31.5 -1.081764
0.5 32.5 -1.64818
0.5 33.5 -2.363207
0.5 34.5 -5.553444
0.5 35.5 -6.591816
0.5 36.5 -2.522525
0.5 37.5 -0.20425
0.5 38.5 -1.275018
0.5 39.5 -2.4639
0.5 40.5 -4.06406
0.5 41.5 -9.158117
0.5 42.5 -13.717725
0.5 43.5 -15.0972
0.5 44.5 -17.63205
0.5 45.5 -17.466795
0.5 46.5 -15.959572
0.5 47.5 -15.515157
0.5 48.5 -12.60402
0.5 49.5 -7.588108
0.5 50.5 -0.293314
0.5 51.5 -2.408514
0.5 52.5 -0.798368
0.5 54.5 -0.009527
1.5 5.5 5.077086
1.5 6.5 20.545805
1.5 7.5 29.250572
1.5 8.5 29.015204
