HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20080216.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.07665
0.5 5.5 -0.99129
0.5 6.5 -4.177496
0.5 7.5 -8.105328
0.5 8.5 -9.477912
0.5 9.5 -9.053046
0.5 10.5 -8.102857
0.5 11.5 -6.896864
0.5 12.5 -4.65976
0.5 13.5 -1.380394
0.5 14.5 -0.368637
0.5 15.5 -0.324346
0.5 16.5 -0.4929
0.5 17.5 -0.264638
0.5 18.5 -0.059792
0.5 19.5 -0.05536
0.5 21.5 -0.00756
0.5 22.5 -0.04172
0.5 23.5 -0.027864
0.5 24.5 -0.187975
0.5 26.5 -0.103296
0.5 27.5 -0.318
0.5 28.5 -0.163767
0.5 29.5 -0.058256
0.5 30.5 -0.035234
0.5 31.5 -0.093016
0.5 32.5 -0.33028
0.5 33.5 -0.760092
0.5 34.5 -2.080156
0.5 35.5 -2.270352
0.5 36.5 -0.692875
0.5 37.5 -0.042914
0.5 38.5 -0.208116
0.5 39.5 -0.29068
0.5 40.5 -0.21658
0.5 42.5 1.768935
0.5 43.5 3.20712
0.5 44.5 4.77855
0.5 45.5 5.29836
0.5 46.5 5.077386
0.5 47.5 5.078669
0.5 48.5 4.29858
0.5 49.5 2.832236
0.5 51.5 1.92546
0.5 52.5 2.946436
0.5 53.5 1.144215
0.5 54.5 -0.017528
