HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20111017.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_end=2011 10 31
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 6.532964
0.5 6.5 25.575533
0.5 7.5 38.844432
0.5 8.5 34.288658
0.5 9.5 25.534964
0.5 10.5 19.19069
0.5 11.5 15.423528
0.5 12.5 11.606539
0.5 13.5 4.644178
0.5 14.5 1.917654
0.5 15.5 2.220834
0.5 16.5 2.46357
0.5 18.5 -0.00296
0.5 19.5 -0.263998
0.5 20.5 -1.567116
0.5 23.5 -0.433296
0.5 24.5 -0.81687
0.5 26.5 -0.259488
0.5 27.5 -0.913296
0.5 28.5 -0.687063
0.5 29.5 -0.48312
0.5 30.5 -0.54858
0.5 31.5 -0.656246
0.5 32.5 -0.9223
0.5 33.5 -1.302082
0.5 34.5 -3.06078
0.5 35.5 -3.577672
0.5 36.5 -1.342625
0.5 37.5 -0.10965
0.5 38.5 -0.723978
0.5 39.5 -1.52736
0.5 40.5 -2.756936
0.5 41.5 -6.717163
0.5 42.5 -10.75998
0.5 43.5 -12.58744
0.5 44.5 -15.55335
0.5 45.5 -16.199538
0.5 46.5 -15.475234
0.5 47.5 -15.76267
0.5 48.5 -13.635336
0.5 49.5 -9.084702
0.5 50.5 -0.419823
0.5 51.5 -4.902604
0.5 52.5 -4.83438
0.5 53.5 -0.913749
1.5 5.5 5.706834
