HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20160716.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
0.5 5.5 1.912292
0.5 6.5 4.91949
0.5 7.5 6.09048
0.5 8.5 5.844996
0.5 9.5 6.199446
0.5 10.5 7.671912
0.5 11.5 10.280104
0.5 12.5 11.928546
0.5 13.5 6.503101
0.5 14.5 3.235539
0.5 15.5 4.122888
0.5 16.5 4.78113
0.5 17.5 1.170884
0.5 19.5 -0.272648
0.5 20.5 -1.558065
0.5 23.5 -0.3726
0.5 24.5 -0.66795
0.5 26.5 -0.165792
0.5 27.5 -0.556182
0.5 28.5 -0.463098
0.5 29.5 -0.40832
0.5 30.5 -0.616818
0.5 31.5 -0.980896
0.5 32.5 -1.74294
0.5 33.5 -2.881689
0.5 34.5 -7.433952
0.5 35.5 -9.07004
0.5 36.5 -3.329825
0.5 37.5 -0.239725
0.5 38.5 -1.221636
0.5 39.5 -1.76472
0.5 40.5 -2.016742
0.5 41.5 -2.989585
0.5 42.5 -2.90241
0.5 43.5 -2.19328
0.5 44.5 -2.09305
0.5 45.5 -2.143068
0.5 46.5 -2.387224
0.5 47.5 -3.068789
0.5 48.5 -3.505788
0.5 49.5 -3.211252
0.5 50.5 -0.211481
0.5 51.5 -3.639232
0.5 52.5 -5.573852
0.5 53.5 -1.868614
1.5 5.5 1.672468
1.5 6.5 4.554256
1.5 7.5 5.094988
1.5 8.5 4.966936
1.5 9.5 5.773608
