HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120102.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_start=2011 12 19
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
4.5 52.5 -0.11951
4.5 59.5 -0.00293
4.5 60.5 -0.008352
4.5 61.5 -0.011965
4.5 62.5 -0.001787
5.5 4.5 2.991877
5.5 5.5 4.946875
5.5 6.5 1.324082
5.5 9.5 1.890102
5.5 10.5 2.518334
5.5 11.5 2.69607
5.5 12.5 2.429912
5.5 13.5 1.017374
5.5 15.5 -0.481358
5.5 16.5 -0.337983
5.5 17.5 -0.589992
5.5 18.5 -0.214675
5.5 19.5 -0.70308
5.5 20.5 -2.743104
5.5 21.5 -2.12646
5.5 22.5 -0.915145
5.5 23.5 -0.946389
5.5 24.5 -0.70889
5.5 25.5 -0.281952
5.5 26.5 -0.292978
5.5 27.5 -0.671055
5.5 28.5 -0.696969
5.5 29.5 -0.822584
5.5 30.5 -0.867601
5.5 31.5 -0.68134
5.5 32.5 -0.69598
5.5 33.5 -0.700308
5.5 34.5 -0.72416
5.5 35.5 -1.799073
5.5 36.5 -2.707386
5.5 42.5 -0.252436
5.5 43.5 -1.2168
5.5 44.5 -2.272422
5.5 45.5 -2.611312
5.5 46.5 -2.145879
5.5 47.5 -1.759989
5.5 48.5 -1.234044
5.5 49.5 -0.549
5.5 50.5 -0.16771
5.5 51.5 -0.102934
5.5 52.5 -0.092728
5.5 57.5 -0.007515
5.5 58.5 6.519795
5.5 59.5 11.45277
5.5 60.5 10.364144
5.5 61.5 8.531802
5.5 62.5 1.168634
5.5 63.5 -0.022896
6.5 4.5 3.440473
6.5 5.5 2.83556
6.5 6.5 -0.134408
6.5 7.5 -0.40434
6.5 9.5 1.38718
6.5 10.5 2.287662
6.5 11.5 2.548876
6.5 12.5 2.217618
6.5 15.5 -0.737352
6.5 16.5 -0.48039
6.5 17.5 -0.795646
6.5 18.5 -0.491534
6.5 19.5 -1.303962
6.5 20.5 -1.319597
6.5 21.5 -1.901822
6.5 22.5 -1.1448
6.5 23.5 -1.076667
6.5 24.5 -0.738837
6.5 25.5 -0.218325
6.5 26.5 -0.405768
6.5 27.5 -0.715792
6.5 28.5 -0.638928
6.5 29.5 -0.760165
6.5 30.5 -0.635128
6.5 31.5 -0.588544
6.5 32.5 -0.831348
6.5 33.5 -1.108744
6.5 34.5 -1.05678
6.5 35.5 -2.872863
6.5 36.5 -3.656016
6.5 37.5 -0.06534
6.5 42.5 -0.5278
6.5 43.5 -1.213984
6.5 44.5 -2.514955
6.5 45.5 -3.080796
6.5 46.5 -2.201771
6.5 47.5 -1.784805
6.5 48.5 -1.112454
6.5 49.5 -0.336924
6.5 57.5 -0.02705
6.5 58.5 16.096326
6.5 59.5 29.614816
6.5 60.5 27.7992
6.5 61.5 23.87259
6.5 62.5 6.050733
7.5 -70.5 32767
7.5 5.5 -0.29193
7.5 6.5 -0.954655
7.5 7.5 -1.394378
7.5 8.5 -0.498814
7.5 10.5 2.139408
7.5 11.5 2.391965
7.5 12.5 1.899812
7.5 14.5 -0.250038
7.5 15.5 -1.585788
7.5 16.5 -0.13266
7.5 17.5 -0.848218
7.5 18.5 -0.887364
7.5 19.5 -1.26054
7.5 20.5 -0.69012
7.5 21.5 -0.807744
7.5 22.5 -0.81852
7.5 23.5 -0.620961
7.5 24.5 -0.467364
7.5 25.5 -0.283657
7.5 26.5 -0.437152
7.5 27.5 -0.522318
7.5 28.5 -0.640677
7.5 29.5 -0.66594
7.5 30.5 -0.666516
7.5 31.5 -0.53661
7.5 32.5 -1.036945
7.5 33.5 -1.385167
7.5 34.5 -1.6227
7.5 35.5 -3.872436
7.5 36.5 -4.540401
7.5 37.5 -0.442068
7.5 44.5 -1.828684
7.5 45.5 -3.245802
7.5 46.5 -3.175104
7.5 47.5 -1.955867
7.5 48.5 -1.073326
7.5 49.5 -0.140672
7.5 51.5 1.134657
7.5 52.5 1.554462
7.5 53.5 1.382022
7.5 57.5 -0.068184
7.5 58.5 13.577626
7.5 59.5 28.489756
7.5 60.5 28.06958
7.5 61.5 25.86104
7.5 62.5 17.981312
7.5 63.5 1.91101
8.5 4.5 -0.004563
8.5 5.5 -0.91932
8.5 6.5 -1.557936
8.5 7.5 -1.5047
8.5 8.5 -0.58794
8.5 10.5 1.62941
8.5 11.5 1.840772
8.5 12.5 1.281024
8.5 14.5 -0.635582
8.5 15.5 -1.990275
8.5 16.5 -0.450429
8.5 17.5 -2.631751
8.5 18.5 -0.64328
8.5 19.5 -0.376584
8.5 20.5 -0.499365
8.5 21.5 -0.968564
8.5 22.5 -0.818626
8.5 23.5 -0.639692
8.5 24.5 -0.557437
8.5 25.5 -0.449064
8.5 26.5 -0.473766
8.5 27.5 -0.69728
8.5 28.5 -1.018014
8.5 29.5 -1.140426
8.5 30.5 -1.166319
8.5 31.5 -0.89232
8.5 32.5 -0.993307
8.5 33.5 -1.646736
8.5 34.5 -1.865084
8.5 35.5 -4.900455
8.5 36.5 -7.466004
8.5 37.5 -0.175938
8.5 38.5 -1.32978
8.5 39.5 -4.798626
8.5 40.5 -5.89617
8.5 41.5 -1.985728
8.5 44.5 -2.349054
8.5 45.5 -3.275985
8.5 46.5 -3.4398
8.5 47.5 -2.108903
8.5 48.5 -0.726615
8.5 50.5 1.13597
8.5 51.5 1.707383
8.5 52.5 2.28291
8.5 53.5 1.8096
8.5 55.5 1.993044
8.5 56.5 2.92516
8.5 58.5 5.141448
8.5 59.5 11.292288
8.5 60.5 13.729452
8.5 61.5 15.016946
8.5 62.5 14.938484
8.5 63.5 1.69811
8.5 64.5 -0.002973
9.5 -2.5 1.151123
9.5 -1.5 1.382616
9.5 -0.5 1.179488
9.5 3.5 -0.123176
9.5 4.5 -0.768509
9.5 5.5 -1.358318
9.5 6.5 -1.7498
9.5 7.5 -1.560984
9.5 8.5 -0.847119
9.5 11.5 1.021258
9.5 13.5 -0.292516
9.5 14.5 -0.773952
9.5 15.5 -1.472274
9.5 16.5 -0.628836
9.5 17.5 -1.521091
9.5 18.5 -0.466141
9.5 19.5 -0.441738
9.5 20.5 -0.328934
9.5 21.5 -0.54737
9.5 22.5 -0.573521
9.5 23.5 -0.529844
9.5 24.5 -0.546516
9.5 25.5 -0.536391
9.5 26.5 -0.587763
9.5 27.5 -0.905029
9.5 28.5 -1.254575
9.5 29.5 -1.762446
9.5 30.5 -1.992264
9.5 31.5 -1.707984
9.5 32.5 -1.175083
9.5 33.5 -1.885162
9.5 34.5 -2.11799
9.5 35.5 -4.57317
9.5 36.5 -7.378987
9.5 38.5 -2.463475
9.5 39.5 -7.22198
9.5 40.5 -7.143795
9.5 41.5 -2.406635
9.5 43.5 -0.828478
9.5 44.5 -3.151214
9.5 45.5 -3.362508
9.5 46.5 -3.7476
9.5 47.5 -2.174448
9.5 48.5 -0.75495
9.5 50.5 1.471652
9.5 51.5 2.335827
9.5 52.5 2.865984
9.5 53.5 2.781
9.5 54.5 1.902912
9.5 55.5 2.145774
9.5 56.5 2.218767
9.5 58.5 1.207759
9.5 59.5 4.027912
9.5 60.5 7.03988
9.5 61.5 9.16034
9.5 62.5 12.534075
9.5 63.5 6.280404
10.5 -18.5 -0.0324
10.5 -17.5 -0.03624
10.5 -16.5 -0.027975
10.5 -15.5 -0.01782
10.5 -3.5 1.600176
10.5 -2.5 2.920176
10.5 -1.5 2.328516
10.5 -0.5 1.51803
10.5 1.5 -0.152796
10.5 2.5 -0.648882
10.5 3.5 -1.41284
10.5 4.5 -2.123436
10.5 5.5 -2.137282
10.5 6.5 -1.948275
10.5 7.5 -1.740552
10.5 8.5 -1.493079
10.5 9.5 -0.698984
10.5 10.5 -0.149632
10.5 12.5 -0.18551
10.5 13.5 -0.471447
10.5 14.5 -0.52164
10.5 15.5 -0.64356
10.5 16.5 -0.426726
10.5 17.5 -0.512919
