HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20040817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 1.913135
0.5 7.5 4.588848
0.5 8.5 6.592282
0.5 9.5 7.827187
0.5 10.5 8.894923
0.5 11.5 9.869844
0.5 12.5 8.97883
0.5 13.5 3.709311
0.5 14.5 1.37814
0.5 15.5 1.383404
0.5 16.5 1.68981
0.5 20.5 3.273876
0.5 21.5 -0.07938
0.5 22.5 -0.516136
0.5 26.5 -0.041184
0.5 27.5 -0.123384
0.5 28.5 -0.038868
0.5 31.5 -0.050736
0.5 32.5 -0.1242
0.5 33.5 -0.042445
0.5 35.5 1.919568
0.5 42.5 -0.56049
0.5 43.5 -1.51984
0.5 44.5 -2.747
0.5 45.5 -3.57837
0.5 46.5 -4.05429
0.5 47.5 -4.916762
0.5 48.5 -5.129124
0.5 49.5 -4.041972
0.5 50.5 -0.204984
0.5 51.5 -2.253126
0.5 52.5 -1.441316
0.5 54.5 -0.005516
1.5 6.5 2.514512
1.5 7.5 4.650796
1.5 8.5 5.963136
1.5 9.5 7.2357
1.5 10.5 8.890938
1.5 11.5 10.021088
1.5 12.5 9.263464
1.5 13.5 4.233784
1.5 14.5 3.550004
1.5 15.5 2.234108
1.5 17.5 1.120564
1.5 20.5 2.266322
1.5 21.5 -0.272613
1.5 22.5 -0.36624
1.5 31.5 -0.050752
