HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20120717.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 4.030482
0.5 6.5 15.499301
0.5 7.5 22.842864
0.5 8.5 19.25644
0.5 9.5 13.490394
0.5 10.5 9.441514
0.5 11.5 7.05872
0.5 12.5 4.960886
0.5 13.5 1.839008
0.5 18.5 -0.00222
0.5 19.5 -0.125252
0.5 20.5 -1.117152
0.5 23.5 -0.309528
0.5 24.5 -0.33799
0.5 26.5 -0.036
0.5 27.5 -0.248358
0.5 28.5 -0.35076
0.5 29.5 -0.37664
0.5 30.5 -0.563521
0.5 31.5 -0.792146
0.5 32.5 -1.18588
0.5 33.5 -1.680169
0.5 34.5 -3.982684
0.5 35.5 -4.902856
0.5 36.5 -1.990075
0.5 37.5 -0.171054
0.5 38.5 -1.09839
0.5 39.5 -2.05626
0.5 40.5 -3.062696
0.5 41.5 -5.880598
0.5 42.5 -7.313145
0.5 43.5 -6.84664
0.5 44.5 -7.33285
0.5 45.5 -7.277337
0.5 46.5 -7.080042
0.5 47.5 -7.577992
0.5 48.5 -7.016724
0.5 49.5 -5.137484
0.5 50.5 -0.273166
0.5 51.5 -3.92974
0.5 52.5 -5.281008
0.5 53.5 -1.620295
1.5 5.5 3.34425
1.5 6.5 13.779262
1.5 7.5 18.123298
1.5 8.5 15.273504
1.5 9.5 11.7747
