HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20090317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.136745
0.5 5.5 -1.5853
0.5 6.5 -5.345148
0.5 7.5 -8.24472
0.5 8.5 -8.363364
0.5 9.5 -7.766548
0.5 10.5 -7.525718
0.5 11.5 -7.645448
0.5 12.5 -6.808305
0.5 13.5 -2.979853
0.5 14.5 -1.30398
0.5 15.5 -1.720906
0.5 16.5 -2.66352
0.5 17.5 -1.279674
0.5 18.5 -0.336996
0.5 19.5 -0.716566
0.5 20.5 -2.543331
0.5 23.5 -0.452304
0.5 24.5 -0.681455
0.5 26.5 -0.090048
0.5 27.5 -0.150414
0.5 32.5 1.77468
0.5 33.5 2.730846
0.5 34.5 5.364072
0.5 35.5 3.97068
0.5 37.5 -0.004558
0.5 38.5 -0.15006
0.5 39.5 -0.19436
0.5 41.5 1.356662
0.5 42.5 3.3558
0.5 43.5 4.6552
0.5 44.5 6.0106
0.5 45.5 6.142539
0.5 46.5 5.674192
0.5 47.5 5.698382
0.5 48.5 5.000424
0.5 49.5 3.416336
0.5 51.5 1.67774
0.5 52.5 1.182828
0.5 53.5 -0.017312
1.5 5.5 -1.679671
1.5 6.5 -5.953283
1.5 7.5 -7.831528
1.5 8.5 -7.490252
1.5 9.5 -7.217544
1.5 10.5 -7.550788
1.5 11.5 -7.77378
