HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20110317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.00903
0.5 6.5 3.401775
0.5 7.5 4.634784
0.5 8.5 2.65166
0.5 10.5 -1.022267
0.5 11.5 -1.745572
0.5 12.5 -1.652896
0.5 13.5 -0.636711
0.5 14.5 -0.240402
0.5 15.5 -0.334972
0.5 16.5 -0.6603
0.5 17.5 -0.385572
0.5 18.5 -0.10952
0.5 19.5 -0.246698
0.5 20.5 -1.039572
0.5 23.5 -0.309312
0.5 24.5 -0.504065
0.5 26.5 -0.123648
0.5 27.5 -0.482406
0.5 28.5 -0.429681
0.5 29.5 -0.331936
0.5 30.5 -0.335392
0.5 31.5 -0.198716
0.5 34.5 3.451268
0.5 35.5 4.901232
0.5 36.5 2.057925
0.5 38.5 1.074774
0.5 39.5 1.89716
0.5 40.5 2.663934
0.5 41.5 4.959728
0.5 42.5 6.30105
0.5 43.5 6.24496
0.5 44.5 6.84905
0.5 45.5 6.312561
0.5 46.5 5.104596
0.5 47.5 4.116532
0.5 48.5 2.601456
0.5 49.5 1.125366
0.5 51.5 -0.109222
0.5 52.5 -0.6953
0.5 53.5 -0.324059
1.5 6.5 1.786974
1.5 7.5 2.16147
1.5 9.5 -0.279816
1.5 10.5 -1.253724
1.5 11.5 -1.761592
1.5 12.5 -1.651202
1.5 13.5 -0.760184
