HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20030416.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.20048
0.5 5.5 -3.616012
0.5 6.5 -15.135282
0.5 7.5 -24.604272
0.5 8.5 -23.526038
0.5 9.5 -19.272501
0.5 10.5 -16.127162
0.5 11.5 -14.501848
0.5 12.5 -12.201098
0.5 13.5 -5.473211
0.5 14.5 -2.578605
0.5 15.5 -3.550096
0.5 16.5 -5.1336
0.5 17.5 -2.049806
0.5 18.5 -0.436008
0.5 19.5 -0.810678
0.5 20.5 -2.587293
0.5 25.5 -0.021758
0.5 26.5 -0.090528
0.5 27.5 -0.640134
0.5 28.5 -0.522822
0.5 29.5 -0.24728
0.5 30.5 -0.041478
0.5 34.5 1.93042
0.5 35.5 3.697848
0.5 36.5 1.97915
0.5 38.5 1.000482
0.5 39.5 1.54929
0.5 40.5 2.221219
0.5 41.5 5.366986
0.5 42.5 9.33912
0.5 43.5 10.9388
0.5 44.5 11.65015
0.5 45.5 9.155487
0.5 46.5 6.601146
0.5 47.5 6.5135
0.5 48.5 7.2501
0.5 49.5 6.43159
0.5 51.5 3.213604
0.5 53.5 -0.88724
1.5 5.5 -3.105522
1.5 6.5 -13.906746
1.5 7.5 -20.202804
1.5 8.5 -19.284088
1.5 9.5 -17.257812
1.5 10.5 -16.164944
1.5 11.5 -14.96656
