HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20140517.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.086345
0.5 5.5 -0.934372
0.5 6.5 -2.870284
0.5 7.5 -4.177008
0.5 8.5 -4.037046
0.5 9.5 -3.372004
0.5 10.5 -2.6184
0.5 11.5 -1.795028
0.5 12.5 -0.831943
0.5 13.5 -0.158751
0.5 14.5 -0.11433
0.5 15.5 -0.47058
0.5 16.5 -1.53357
0.5 17.5 -1.1385
0.5 18.5 -0.393532
0.5 19.5 -1.035924
0.5 20.5 -4.403958
0.5 22.5 1.3112
0.5 23.5 -1.010016
0.5 24.5 -1.704915
0.5 26.5 -0.405888
0.5 27.5 -1.298712
0.5 28.5 -0.957954
0.5 29.5 -0.705584
0.5 30.5 -0.862118
0.5 31.5 -1.075422
0.5 32.5 -1.44072
0.5 33.5 -1.757223
0.5 34.5 -3.458608
0.5 35.5 -3.566304
0.5 36.5 -1.25465
0.5 37.5 -0.093869
0.5 38.5 -0.496428
0.5 39.5 -0.66994
0.5 40.5 -0.523614
0.5 41.5 -0.006485
0.5 42.5 1.090635
0.5 43.5 1.47384
0.5 44.5 1.0906
0.5 45.5 -0.07908
0.5 46.5 -1.226264
0.5 47.5 -2.2332
0.5 48.5 -2.695836
0.5 49.5 -2.400002
0.5 50.5 -0.153446
0.5 51.5 -2.653982
