HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20090517.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 6.5 -1.065308
0.5 7.5 -3.985344
0.5 8.5 -6.23211
0.5 9.5 -7.256467
0.5 10.5 -7.951208
0.5 11.5 -8.773944
0.5 12.5 -8.463399
0.5 13.5 -4.055263
0.5 14.5 -1.941138
0.5 15.5 -2.718232
0.5 16.5 -4.25568
0.5 17.5 -2.016916
0.5 18.5 -0.52688
0.5 19.5 -1.083326
0.5 20.5 -3.273876
0.5 23.5 -0.09612
0.5 24.5 -0.148555
0.5 26.5 -0.108192
0.5 27.5 -0.373014
0.5 28.5 -0.169218
0.5 33.5 1.124466
0.5 34.5 1.9818
0.5 35.5 1.321936
0.5 37.5 -0.016684
0.5 38.5 -0.174168
0.5 39.5 -0.24682
0.5 41.5 1.202319
0.5 42.5 3.11304
0.5 43.5 4.07376
0.5 44.5 4.67195
0.5 45.5 4.118091
0.5 46.5 3.279712
0.5 47.5 2.823137
0.5 48.5 1.95624
0.5 50.5 -0.003066
0.5 51.5 -0.66997
0.5 52.5 -1.438044
0.5 53.5 -0.487982
1.5 5.5 -0.050078
1.5 6.5 -1.451779
1.5 7.5 -4.016236
1.5 8.5 -5.717016
1.5 9.5 -6.8352
1.5 10.5 -8.020114
1.5 11.5 -8.86606
1.5 12.5 -8.611582
1.5 13.5 -4.563108
