HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20150817.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Tue Nov 10 11:20:51 2015
0.5 5.5 1.03522
0.5 6.5 3.187783
0.5 7.5 4.824864
0.5 8.5 5.761334
0.5 9.5 7.187505
0.5 10.5 9.580071
0.5 11.5 12.985572
0.5 12.5 14.718907
0.5 13.5 7.704829
0.5 14.5 3.65547
0.5 15.5 4.441668
0.5 16.5 4.93923
0.5 17.5 1.164306
0.5 19.5 -0.373334
0.5 20.5 -2.446356
0.5 23.5 -0.857088
0.5 24.5 -1.60089
0.5 26.5 -0.4224
0.5 27.5 -1.322562
0.5 28.5 -0.916005
0.5 29.5 -0.626208
0.5 30.5 -0.733224
0.5 31.5 -0.949488
0.5 32.5 -1.472
0.5 33.5 -2.240443
0.5 34.5 -5.406644
0.5 35.5 -6.093248
0.5 36.5 -2.0286
0.5 37.5 -0.132569
0.5 38.5 -0.646734
0.5 39.5 -1.01867
0.5 40.5 -1.512875
0.5 41.5 -3.354042
0.5 42.5 -5.20149
0.5 43.5 -6.14744
0.5 44.5 -8.02575
0.5 45.5 -9.183165
0.5 46.5 -9.80467
0.5 47.5 -11.07295
0.5 48.5 -10.383516
0.5 49.5 -7.30125
0.5 50.5 -0.347553
0.5 51.5 -4.079498
0.5 52.5 -3.834784
0.5 53.5 -0.545869
0.5 54.5 -0.001883
1.5 6.5 2.73651
