HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20060416.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.22673
0.5 5.5 -3.345556
0.5 6.5 -12.462708
0.5 7.5 -18.963648
0.5 8.5 -17.637084
0.5 9.5 -14.560494
0.5 10.5 -12.631598
0.5 11.5 -11.837968
0.5 12.5 -10.015187
0.5 13.5 -4.167356
0.5 14.5 -1.629357
0.5 15.5 -1.610092
0.5 16.5 -1.21086
0.5 20.5 3.095442
0.5 21.5 -0.09142
0.5 22.5 -0.809368
0.5 24.5 1.09792
0.5 25.5 -0.283714
0.5 27.5 1.168968
0.5 32.5 1.12976
0.5 33.5 1.667762
0.5 34.5 3.744868
0.5 35.5 3.8976
0.5 36.5 1.295475
0.5 39.5 1.41943
0.5 40.5 2.409771
0.5 41.5 5.198376
0.5 42.5 7.234605
0.5 43.5 7.6544
0.5 44.5 9.2332
0.5 45.5 9.883023
0.5 46.5 9.664992
0.5 47.5 9.613926
0.5 48.5 7.605312
0.5 49.5 4.339214
0.5 51.5 1.611306
0.5 52.5 1.467492
0.5 54.5 -0.001533
1.5 5.5 -3.088029
1.5 6.5 -12.158237
1.5 7.5 -16.449646
1.5 8.5 -15.185604
1.5 9.5 -13.529424
1.5 10.5 -12.878568
1.5 11.5 -12.138252
1.5 12.5 -10.21979
1.5 13.5 -4.604524
1.5 14.5 -3.981029
