HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20160317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Sun May 29 19:00:13 2016
0.5 4.5 -0.17199
0.5 5.5 -2.585758
0.5 6.5 -9.954117
0.5 7.5 -15.169968
0.5 8.5 -13.083886
0.5 9.5 -8.698724
0.5 10.5 -4.581109
0.5 11.5 -0.765444
0.5 12.5 2.49473
0.5 13.5 2.216824
0.5 14.5 1.215915
0.5 15.5 1.359622
0.5 17.5 -0.451858
0.5 18.5 -0.30118
0.5 19.5 -0.88057
0.5 20.5 -3.474291
0.5 23.5 -0.746064
0.5 24.5 -1.384445
0.5 26.5 -0.370848
0.5 27.5 -1.162926
0.5 28.5 -0.812673
0.5 29.5 -0.569888
0.5 30.5 -0.687509
0.5 31.5 -0.889692
0.5 32.5 -1.30226
0.5 33.5 -1.80881
0.5 34.5 -4.082508
0.5 35.5 -4.591048
0.5 36.5 -1.61115
0.5 37.5 -0.109478
0.5 38.5 -0.469122
0.5 39.5 -0.34916
0.5 41.5 2.914359
0.5 42.5 6.395655
0.5 43.5 7.95432
0.5 44.5 8.85395
0.5 45.5 7.320831
0.5 46.5 5.102782
0.5 47.5 3.722
0.5 48.5 2.455596
0.5 49.5 1.334344
0.5 51.5 -0.091206
0.5 52.5 -1.53784
0.5 53.5 -0.997063
1.5 5.5 -2.575587
1.5 6.5 -10.192126
1.5 7.5 -13.489688
