HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20080416.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.2905
0.5 5.5 -3.643134
0.5 6.5 -12.241738
0.5 7.5 -17.808912
0.5 8.5 -16.582092
0.5 9.5 -14.102729
0.5 10.5 -12.733061
0.5 11.5 -12.39772
0.5 12.5 -10.881199
0.5 13.5 -4.76822
0.5 14.5 -2.067828
0.5 15.5 -2.582624
0.5 16.5 -3.54981
0.5 17.5 -1.471448
0.5 18.5 -0.34854
0.5 19.5 -0.727984
0.5 20.5 -2.717886
0.5 23.5 -0.530064
0.5 24.5 -0.804825
0.5 26.5 -0.140352
0.5 27.5 -0.475728
0.5 28.5 -0.459069
0.5 29.5 -0.446512
0.5 30.5 -0.645139
0.5 31.5 -0.825064
0.5 32.5 -0.97382
0.5 33.5 -0.915506
0.5 34.5 -1.428364
0.5 35.5 -1.563912
0.5 36.5 -0.668725
0.5 37.5 -0.051643
0.5 38.5 -0.203934
0.5 39.5 -0.04042
0.5 41.5 1.761326
0.5 42.5 3.06663
0.5 43.5 3.5696
0.5 44.5 4.56125
0.5 45.5 5.272659
0.5 46.5 5.790288
0.5 47.5 6.744264
0.5 48.5 6.548256
0.5 49.5 4.824666
0.5 51.5 3.168564
0.5 52.5 3.519036
0.5 54.5 -0.005803
1.5 5.5 -3.445435
1.5 6.5 -12.13296
