HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20030717.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.00364
0.5 5.5 -0.373596
0.5 6.5 -1.922439
0.5 7.5 -3.082464
0.5 8.5 -2.541056
0.5 9.5 -1.530243
0.5 10.5 -0.733152
0.5 11.5 -0.259644
0.5 12.5 -0.160454
0.5 13.5 -0.223048
0.5 14.5 -0.231441
0.5 15.5 -0.472604
0.5 16.5 -0.71889
0.5 17.5 -0.1518
0.5 20.5 1.205076
0.5 21.5 -0.029995
0.5 22.5 -0.1788
0.5 24.5 -0.012045
0.5 26.5 -0.024192
0.5 27.5 -0.04452
0.5 28.5 -0.005688
0.5 29.5 -0.015664
0.5 30.5 -0.101019
0.5 31.5 -0.314684
0.5 32.5 -0.73646
0.5 33.5 -1.212621
0.5 34.5 -2.50294
0.5 35.5 -2.101456
0.5 36.5 -0.52555
0.5 37.5 -0.03397
0.5 38.5 -0.2337
0.5 39.5 -0.54868
0.5 40.5 -1.059331
0.5 41.5 -2.756125
0.5 42.5 -4.878405
0.5 43.5 -6.33696
0.5 44.5 -8.2205
0.5 45.5 -8.091861
0.5 46.5 -6.39435
0.5 47.5 -4.639473
0.5 48.5 -2.541396
0.5 49.5 -1.256464
0.5 50.5 -0.081468
0.5 51.5 -1.901814
0.5 52.5 -3.681
0.5 53.5 -1.340598
