HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20071217.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_end=2007 12 31
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 5.5 1.508136
0.5 6.5 5.463774
0.5 7.5 7.489152
0.5 8.5 5.647894
0.5 9.5 3.275695
0.5 10.5 1.706324
0.5 11.5 1.00036
0.5 12.5 1.013278
0.5 15.5 1.106116
0.5 16.5 1.65075
0.5 19.5 -0.11937
0.5 20.5 -0.609003
0.5 23.5 -0.008424
0.5 25.5 -0.009718
0.5 28.5 -0.027255
0.5 29.5 -0.078848
0.5 30.5 -0.169703
0.5 31.5 -0.276028
0.5 32.5 -0.39192
0.5 33.5 -0.414655
0.5 34.5 -0.556372
0.5 35.5 -0.31668
0.5 36.5 -0.087975
0.5 37.5 -0.012599
0.5 38.5 -0.153258
0.5 39.5 -0.46784
0.5 40.5 -0.973973
0.5 41.5 -2.21787
0.5 42.5 -2.529345
0.5 43.5 -1.08192
0.5 44.5 1.29355
0.5 45.5 3.87492
0.5 46.5 5.663308
0.5 47.5 7.382587
0.5 48.5 7.70484
0.5 49.5 6.177182
0.5 51.5 5.35976
0.5 52.5 7.473248
0.5 53.5 2.341448
0.5 54.5 -0.028777
1.5 5.5 1.343874
1.5 6.5 5.026826
1.5 7.5 6.205468
1.5 8.5 4.84622
1.5 9.5 3.264876
1.5 10.5 2.05672
1.5 11.5 1.24915
