HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20040416.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.27643
0.5 5.5 -3.553746
0.5 6.5 -12.152187
0.5 7.5 -17.620416
0.5 8.5 -15.941156
0.5 9.5 -12.917296
0.5 10.5 -11.059467
0.5 11.5 -10.341924
0.5 12.5 -8.920583
0.5 13.5 -3.912444
0.5 14.5 -1.689612
0.5 15.5 -2.004772
0.5 16.5 -2.35569
0.5 17.5 -0.70587
0.5 18.5 -0.101528
0.5 19.5 -0.129058
0.5 20.5 -0.338766
0.5 22.5 -0.06705
0.5 25.5 -0.106296
0.5 32.5 1.37632
0.5 33.5 2.139881
0.5 34.5 4.916332
0.5 35.5 5.547584
0.5 36.5 2.120025
0.5 38.5 1.221882
0.5 39.5 2.44799
0.5 40.5 3.97488
0.5 41.5 8.481083
0.5 42.5 11.818485
0.5 43.5 12.05568
0.5 44.5 13.0134
0.5 45.5 11.780943
0.5 46.5 9.63234
0.5 47.5 8.160485
0.5 48.5 5.625048
0.5 49.5 2.80368
0.5 52.5 -0.62986
0.5 53.5 -0.682742
1.5 5.5 -3.301032
1.5 6.5 -11.96811
1.5 7.5 -15.501772
1.5 8.5 -14.033528
1.5 9.5 -12.398412
1.5 10.5 -11.740808
1.5 11.5 -11.045972
1.5 12.5 -9.398256
1.5 13.5 -4.392768
