HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20021017.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_end=2002 10 31
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
6.5 9.5 23.707874
6.5 10.5 15.032484
6.5 11.5 9.643539
6.5 12.5 6.350643
6.5 13.5 2.539936
6.5 14.5 1.550628
6.5 15.5 1.2243
6.5 18.5 -0.265636
6.5 19.5 -1.437546
6.5 20.5 -1.840128
6.5 21.5 -2.909962
6.5 22.5 -1.82832
6.5 23.5 -1.645083
6.5 24.5 -0.704616
6.5 27.5 1.249696
6.5 33.5 -0.297388
6.5 34.5 -0.737068
6.5 35.5 -3.230316
6.5 36.5 -5.119464
6.5 37.5 -0.07566
6.5 43.5 1.140352
6.5 44.5 2.289975
6.5 45.5 2.939016
6.5 46.5 2.538458
6.5 47.5 2.97654
6.5 48.5 3.466638
6.5 49.5 3.749712
6.5 50.5 3.695408
6.5 51.5 4.312704
6.5 52.5 3.777616
6.5 57.5 -0.01675
6.5 58.5 1.771638
6.5 59.5 -7.62146
6.5 60.5 -13.856832
6.5 61.5 -14.42637
6.5 62.5 -3.473535
6.5 63.5 -0.117978
7.5 -70.5 32767
7.5 4.5 6.182421
7.5 5.5 22.672704
7.5 6.5 20.66402
7.5 7.5 28.63366
7.5 8.5 27.767888
7.5 9.5 16.24259
7.5 10.5 14.460592
7.5 11.5 9.701476
7.5 12.5 6.781192
7.5 13.5 2.7727
7.5 14.5 1.371294
7.5 15.5 2.134912
7.5 18.5 -0.608532
7.5 19.5 -1.63453
7.5 20.5 -1.089936
7.5 21.5 -1.370208
7.5 22.5 -1.433846
7.5 23.5 -1.032889
7.5 24.5 -0.4959
7.5 33.5 -0.273223
7.5 34.5 -1.030114
7.5 35.5 -4.238646
7.5 36.5 -6.505785
7.5 37.5 -0.56661
7.5 43.5 -0.006585
7.5 44.5 1.605032
7.5 45.5 2.925342
7.5 46.5 3.387072
7.5 47.5 3.028187
7.5 48.5 3.374091
7.5 49.5 4.190016
7.5 50.5 5.145664
7.5 51.5 4.104531
7.5 52.5 5.11056
7.5 53.5 4.672404
7.5 57.5 -0.039096
7.5 58.5 1.287861
7.5 59.5 -6.969928
7.5 60.5 -13.004136
7.5 61.5 -14.49424
7.5 62.5 -9.71448
7.5 63.5 -0.80004
8.5 -1.5 -0.700448
8.5 -0.5 -0.470008
8.5 4.5 6.170697
8.5 5.5 20.046392
8.5 6.5 23.699892
8.5 7.5 24.55964
8.5 8.5 21.462678
8.5 9.5 14.413059
8.5 10.5 12.478458
8.5 11.5 9.106848
8.5 12.5 6.986835
8.5 13.5 2.997558
8.5 14.5 1.996388
8.5 15.5 2.4633
8.5 17.5 -0.054368
8.5 18.5 -0.50009
8.5 19.5 -0.529074
8.5 20.5 -0.852201
8.5 21.5 -1.776628
8.5 22.5 -1.534876
8.5 23.5 -1.100689
8.5 24.5 -0.581166
8.5 28.5 1.166235
8.5 29.5 1.16613
8.5 33.5 -0.204321
8.5 34.5 -1.039012
8.5 35.5 -5.064962
8.5 36.5 -10.625069
8.5 37.5 -0.240548
8.5 38.5 -1.04562
8.5 39.5 -0.839104
8.5 40.5 1.4112
8.5 41.5 1.04512
8.5 42.5 -0.032116
8.5 43.5 -0.01224
8.5 44.5 1.873044
8.5 45.5 2.683251
8.5 46.5 3.2994
8.5 47.5 2.948973
8.5 48.5 2.21238
8.5 49.5 3.994164
8.5 50.5 4.39967
8.5 51.5 4.286568
8.5 52.5 5.098499
8.5 53.5 4.082
8.5 54.5 1.751918
8.5 55.5 3.483836
8.5 56.5 3.171844
8.5 59.5 -2.951424
8.5 60.5 -6.387018
8.5 61.5 -8.446601
8.5 62.5 -8.32161
8.5 63.5 -0.79007
9.5 -2.5 -2.245762
9.5 -1.5 -3.211785
9.5 -0.5 -2.352416
9.5 2.5 2.513688
9.5 3.5 6.955292
9.5 4.5 14.867986
9.5 5.5 18.991798
9.5 6.5 22.0376
9.5 7.5 21.528908
9.5 8.5 19.141551
9.5 9.5 13.45036
9.5 10.5 9.786668
9.5 11.5 8.366224
9.5 12.5 7.257632
9.5 13.5 3.627372
9.5 14.5 2.100528
9.5 15.5 1.750308
9.5 17.5 -0.264958
9.5 18.5 -0.406341
9.5 19.5 -0.626428
9.5 20.5 -0.565121
9.5 21.5 -1.02235
9.5 22.5 -1.086065
9.5 23.5 -0.871948
9.5 24.5 -0.4959
9.5 28.5 1.270052
9.5 29.5 1.699719
9.5 30.5 1.65699
9.5 31.5 1.031994
9.5 33.5 -0.101378
9.5 34.5 -0.978948
9.5 35.5 -4.23045
9.5 36.5 -9.882488
9.5 38.5 -2.308628
9.5 39.5 -2.960188
9.5 40.5 -0.117783
9.5 42.5 -0.040749
9.5 44.5 2.168116
9.5 45.5 2.41695
9.5 46.5 3.15225
9.5 47.5 2.685484
9.5 48.5 2.144777
9.5 49.5 3.9389
9.5 50.5 4.365196
9.5 51.5 4.607317
9.5 52.5 4.919424
9.5 53.5 4.662
9.5 54.5 3.11712
9.5 55.5 2.954058
9.5 56.5 1.960839
9.5 58.5 -0.025004
9.5 59.5 -1.245216
9.5 60.5 -3.53564
9.5 61.5 -5.53833
9.5 62.5 -7.7271
9.5 63.5 -3.455543
9.5 64.5 -0.132384
10.5 -5.5 -0.080115
10.5 -4.5 -0.434775
10.5 -3.5 -2.210952
10.5 -2.5 -4.345488
10.5 -1.5 -3.454434
10.5 -0.5 -1.20908
10.5 1.5 2.211972
10.5 2.5 6.89067
10.5 3.5 14.569295
10.5 4.5 22.160761
10.5 5.5 22.581965
10.5 6.5 20.79397
10.5 7.5 19.21755
10.5 8.5 18.707743
10.5 9.5 12.595154
10.5 10.5 7.288064
10.5 11.5 7.08288
10.5 12.5 7.456075
10.5 13.5 3.675081
10.5 14.5 1.495368
10.5 17.5 -0.236313
10.5 18.5 -0.425618
10.5 19.5 -0.641565
10.5 20.5 -0.4857
10.5 21.5 -0.504832
10.5 22.5 -0.77499
10.5 23.5 -0.67
10.5 24.5 -0.372495
10.5 28.5 1.269606
10.5 29.5 2.027804
10.5 30.5 2.381388
10.5 31.5 1.880274
10.5 34.5 -0.576396
10.5 35.5 -3.013452
10.5 36.5 -5.001545
10.5 38.5 -1.87866
10.5 39.5 -2.979681
10.5 40.5 -1.15911
10.5 43.5 1.258884
10.5 44.5 2.255295
10.5 45.5 2.261736
10.5 46.5 2.28657
10.5 47.5 2.21004
10.5 48.5 2.434711
10.5 49.5 3.80904
10.5 50.5 4.405995
10.5 51.5 4.71826
10.5 52.5 4.829004
10.5 53.5 4.786002
10.5 54.5 2.2606
10.5 55.5 1.69776
10.5 57.5 -0.01386
10.5 58.5 -0.091098
10.5 59.5 -0.95062
10.5 60.5 -2.677179
10.5 61.5 -4.52396
10.5 62.5 -7.368234
10.5 63.5 -7.042948
10.5 64.5 -2.617308
10.5 65.5 -0.001124
11.5 -19.5 -1.307292
11.5 -18.5 -1.948622
11.5 -17.5 -2.132627
11.5 -16.5 -1.615952
11.5 -15.5 -3.510815
11.5 -14.5 -4.273045
11.5 -13.5 -1.498896
11.5 -9.5 -0.020232
11.5 -8.5 -0.045968
11.5 -7.5 -0.049357
11.5 -6.5 -1.260345
11.5 -5.5 -2.357344
11.5 -4.5 -2.52266
11.5 -3.5 -5.4534
11.5 -2.5 -5.058223
11.5 -1.5 -2.395231
11.5 1.5 4.766928
11.5 2.5 10.596768
11.5 3.5 18.86565
11.5 4.5 22.918407
11.5 5.5 26.701488
11.5 6.5 20.662418
11.5 7.5 17.550126
11.5 8.5 18.117693
11.5 9.5 11.27427
11.5 10.5 5.601008
11.5 11.5 5.733875
11.5 12.5 6.79404
11.5 13.5 3.01842
11.5 16.5 -0.081795
11.5 17.5 -0.235851
11.5 18.5 -0.378072
11.5 19.5 -0.410515
11.5 20.5 -0.637557
11.5 21.5 -0.500769
11.5 22.5 -0.670524
11.5 23.5 -0.552006
11.5 24.5 -0.275598
11.5 28.5 1.08628
11.5 29.5 1.974717
11.5 30.5 2.884631
11.5 31.5 2.931384
11.5 32.5 1.51296
11.5 34.5 -0.1089
11.5 35.5 -1.94373
11.5 36.5 -0.256213
11.5 37.5 -0.008658
11.5 41.5 -0.004524
11.5 43.5 1.437513
11.5 44.5 1.72988
11.5 45.5 2.064984
11.5 46.5 1.202526
11.5 47.5 1.69488
11.5 48.5 2.7675
11.5 49.5 3.58512
11.5 50.5 4.2398
11.5 51.5 4.512832
11.5 52.5 4.68996
11.5 53.5 3.982608
11.5 57.5 -0.000615
11.5 58.5 -0.578201
11.5 59.5 -1.474902
11.5 60.5 -2.721408
11.5 61.5 -4.578249
11.5 62.5 -7.035545
11.5 63.5 -10.032636
11.5 64.5 -8.35275
11.5 65.5 -0.632492
12.5 -70.5 32767
12.5 -19.5 -5.32304
12.5 -18.5 -8.454225
12.5 -17.5 -10.067256
12.5 -16.5 -8.186871
12.5 -15.5 -17.668546
12.5 -14.5 -20.820813
12.5 -13.5 -7.04729
12.5 -10.5 -0.004783
12.5 -9.5 -0.116974
12.5 -8.5 -0.266166
12.5 -7.5 -0.284832
12.5 -6.5 -6.90228
12.5 -5.5 -11.342074
12.5 -4.5 -8.212028
12.5 -3.5 -7.29381
12.5 -2.5 -4.079152
12.5 -1.5 -1.572858
12.5 -0.5 3.21216
12.5 1.5 8.56824
12.5 2.5 10.480122
12.5 3.5 17.719504
12.5 4.5 18.529466
12.5 5.5 19.706745
12.5 6.5 18.362531
12.5 7.5 17.024441
12.5 8.5 15.673092
12.5 9.5 9.483084
12.5 10.5 6.092074
12.5 11.5 5.788261
12.5 12.5 3.580044
12.5 13.5 2.401344
12.5 16.5 -0.40983
12.5 17.5 -0.205029
12.5 18.5 -0.439207
12.5 19.5 -0.44226
12.5 20.5 -0.947176
12.5 21.5 -0.600065
12.5 22.5 -0.398223
12.5 23.5 -0.37694
12.5 24.5 -0.1836
12.5 29.5 1.537191
12.5 30.5 2.934198
12.5 31.5 3.67964
12.5 32.5 3.356556
12.5 33.5 -0.001708
12.5 41.5 -0.203163
12.5 42.5 -0.29719
12.5 45.5 1.578528
12.5 46.5 1.05273
12.5 47.5 1.37088
12.5 48.5 3.113732
12.5 49.5 3.427479
12.5 50.5 3.898292
12.5 51.5 4.102762
12.5 52.5 4.134172
12.5 53.5 2.798978
12.5 54.5 -0.109592
12.5 55.5 -0.017975
12.5 57.5 -0.930952
12.5 58.5 -1.486884
12.5 59.5 -1.732758
12.5 60.5 -2.848895
12.5 61.5 -4.974816
12.5 62.5 -7.357216
12.5 63.5 -11.654671
12.5 64.5 -14.005404
12.5 65.5 -4.090724
12.5 79.5 1.30758
13.5 -22.5 -0.48822
13.5 -21.5 -1.40712
13.5 -20.5 -2.63109
13.5 -19.5 -4.13974
13.5 -18.5 -8.0498
13.5 -17.5 -12.704992
13.5 -16.5 -8.141056
13.5 -15.5 -13.35354
13.5 -14.5 -31.575174
13.5 -13.5 -29.775858
13.5 -12.5 -23.093791
13.5 -11.5 -2.676555
13.5 -10.5 -2.859815
13.5 -9.5 -6.064009
13.5 -8.5 -9.928765
13.5 -7.5 -9.09846
13.5 -6.5 -10.210668
13.5 -5.5 -38.233806
13.5 -4.5 -17.320763
13.5 -3.5 -5.919632
13.5 -2.5 -3.1463
13.5 -1.5 -1.206901
13.5 -0.5 2.579115
13.5 1.5 14.366687
13.5 2.5 11.645952
13.5 3.5 13.680751
13.5 4.5 14.367804
13.5 5.5 14.72346
13.5 6.5 15.32322
13.5 7.5 16.470853
13.5 8.5 16.507476
13.5 9.5 10.4118
13.5 10.5 7.869456
13.5 11.5 6.298785
13.5 12.5 3.754432
13.5 13.5 1.238193
13.5 15.5 -0.002451
13.5 16.5 -0.193914
13.5 17.5 -0.207936
13.5 18.5 -0.24057
13.5 19.5 -0.351325
13.5 20.5 -0.550746
13.5 21.5 -0.504742
13.5 22.5 -0.391672
13.5 23.5 -0.301631
13.5 24.5 -0.105764
13.5 26.5 -0.075516
13.5 29.5 1.147132
13.5 30.5 1.9815
13.5 31.5 2.047328
13.5 32.5 4.308696
13.5 36.5 -0.4599
13.5 37.5 -1.677312
13.5 38.5 -0.591489
13.5 40.5 -0.807975
13.5 41.5 -1.9126
13.5 42.5 -0.95238
13.5 45.5 1.237251
13.5 47.5 1.318581
13.5 48.5 2.90048
13.5 49.5 2.944122
13.5 50.5 3.67356
13.5 51.5 3.605238
13.5 52.5 3.498236
13.5 53.5 2.006957
13.5 54.5 -0.021421
13.5 55.5 -0.085086
13.5 56.5 -1.42272
13.5 57.5 -2.508814
13.5 58.5 -2.812104
13.5 59.5 -2.586555
13.5 60.5 -3.429888
13.5 61.5 -4.96544
13.5 62.5 -5.942215
13.5 63.5 -9.519168
13.5 64.5 -15.505224
13.5 65.5 -14.008995
13.5 66.5 -8.340927
13.5 78.5 91.391502
13.5 79.5 9.116496
14.5 -22.5 -0.253461
14.5 -21.5 -1.631194
14.5 -20.5 -2.9975
14.5 -19.5 -5.003103
14.5 -18.5 -6.3291
14.5 -17.5 -9.90256
14.5 -16.5 -11.53737
14.5 -15.5 -11.520234
14.5 -14.5 -26.017281
14.5 -13.5 -23.961015
14.5 -12.5 -15.682719
14.5 -11.5 -7.24885
14.5 -10.5 -10.50958
14.5 -9.5 -13.099762
14.5 -8.5 -13.180093
14.5 -7.5 -11.976916
14.5 -6.5 -10.7601
14.5 -5.5 -23.654113
14.5 -4.5 -21.361284
14.5 -3.5 -6.1705
