HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20040108.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
0.5 4.5 -0.082565
0.5 5.5 -0.620368
0.5 6.5 -0.612901
0.5 8.5 1.688838
0.5 9.5 1.650332
0.5 10.5 1.458667
0.5 11.5 1.526392
0.5 12.5 1.808954
0.5 13.5 1.22904
0.5 15.5 1.56354
0.5 16.5 3.03459
0.5 17.5 1.661704
0.5 19.5 1.075368
0.5 20.5 3.716082
0.5 21.5 -0.08848
0.5 22.5 -0.650832
0.5 25.5 -0.22274
0.5 32.5 1.33308
0.5 33.5 2.674688
0.5 34.5 7.316512
0.5 35.5 8.46916
0.5 36.5 2.790475
0.5 39.5 1.71441
0.5 40.5 2.717442
0.5 41.5 5.827421
0.5 42.5 7.991445
0.5 43.5 7.8016
0.5 44.5 8.02985
0.5 45.5 7.093476
0.5 46.5 5.801172
0.5 47.5 4.91304
0.5 48.5 3.262116
0.5 49.5 1.455058
0.5 52.5 -0.240492
0.5 53.5 -0.211531
1.5 5.5 -0.52822
1.5 6.5 -1.023169
1.5 7.5 -0.292162
1.5 10.5 1.149794
1.5 11.5 1.514086
1.5 12.5 1.88825
1.5 13.5 1.336
1.5 14.5 1.933455
1.5 15.5 2.208968
1.5 17.5 1.842065
1.5 20.5 2.397088
1.5 21.5 -0.281446
1.5 22.5 -0.411148
1.5 33.5 2.114406
